# time[s]                    Y(     n )                  Y(  ni64 )                  Y(  ni65 )
 0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      1.5384615384615385E-02
 9.9999999999999998E-13      2.6810008501380650E-04      2.6810008501380650E-04      1.5116515299601580E-02
 2.0000000000000000E-12      4.1884970533798794E-04      4.1884970533798794E-04      1.4965765679277399E-02
 3.0000000000000001E-12      4.7446687525425324E-04      4.7446687525425324E-04      1.4910148509361133E-02
 3.1243405468274533E-12      4.7576836142250954E-04      4.7576836142250954E-04      1.4908847023192876E-02
 3.2486810936549064E-12      4.7654517113603084E-04      4.7654517113603084E-04      1.4908070213479355E-02
 3.3730216404823595E-12      4.7706557689368727E-04      4.7706557689368727E-04      1.4907549807721699E-02
 3.4611821026508186E-12      4.7736824660105651E-04      4.7736824660105651E-04      1.4907247138014331E-02
 3.5493425648192777E-12      4.7763816485558622E-04      4.7763816485558622E-04      1.4906977219759801E-02
 3.6375030269877368E-12      4.7787813146522943E-04      4.7787813146522943E-04      1.4906737253150157E-02
 3.9094021039917215E-12      4.7845034181208076E-04      4.7845034181208076E-04      1.4906165042803305E-02
 4.1813011809957058E-12      4.7882748650225973E-04      4.7882748650225973E-04      1.4905787898113126E-02
 4.4398241619070766E-12      4.7905096103356936E-04      4.7905096103356936E-04      1.4905564423581815E-02
 4.6983471428184474E-12      4.7919083679883085E-04      4.7919083679883085E-04      1.4905424547816553E-02
 4.9568701237298183E-12      4.7928077786413986E-04      4.7928077786413986E-04      1.4905334606751244E-02
 5.3052431641617670E-12      4.7936133710273004E-04      4.7936133710273004E-04      1.4905254047512653E-02
 5.6536162045937157E-12      4.7940857546268094E-04      4.7940857546268094E-04      1.4905206809152702E-02
 6.2258056619277243E-12      4.7943464146971132E-04      4.7943464146971132E-04      1.4905180743145671E-02
 6.7979951192617329E-12      4.7945075277994642E-04      4.7945075277994642E-04      1.4905164631835435E-02
 7.3701845765957415E-12      4.7945866006345668E-04      4.7945866006345668E-04      1.4905156724551925E-02
 9.2642829804391539E-12      4.7946175647484304E-04      4.7946175647484304E-04      1.4905153628140539E-02
 1.1158381384282566E-11      4.7946277322663609E-04      4.7946277322663609E-04      1.4905152611388745E-02
 1.3052479788125979E-11      4.7946287946297640E-04      4.7946287946297640E-04      1.4905152505152404E-02
 3.1873233361203363E-11      4.7946276931766209E-04      4.7946276931766209E-04      1.4905152615297717E-02
 5.0693986934280748E-11      4.7946276415238584E-04      4.7946276415238584E-04      1.4905152620462993E-02
 6.9514740507358128E-11      4.7946276555117800E-04      4.7946276555117800E-04      1.4905152619064202E-02
 2.5772227623813197E-10      4.7946276570420745E-04      4.7946276570420745E-04      1.4905152618911172E-02
 4.4592981196890582E-10      4.7946276570495441E-04      4.7946276570495441E-04      1.4905152618910424E-02
 6.3413734769967961E-10      4.7946276570470960E-04      4.7946276570470960E-04      1.4905152618910669E-02
