# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     1.65897197972179E-10   1.65897197972179E-10
    1      1      0     7.63336795959857E-01   7.63336795959857E-01
    2      1      1     1.48128944246631E-04   2.96257888493263E-04
    3      1      2     5.04430402741811E-07   1.51329120822543E-06
    3      2      1     1.83092875294137E-05   5.49278625882412E-05
    4      2      2     5.90776259803332E-02   2.36310503921333E-01
    6      3      3     5.26881148027804E-14   3.16128688816682E-13
    7      3      4     1.24437046917472E-10   8.71059328422305E-10
    7      4      3     5.60522097664565E-12   3.92365468365195E-11
    9      4      5     2.02669611104566E-16   1.82402649994109E-15
   10      5      5     2.34477376629782E-19   2.34477376629782E-18
   11      5      6     1.44795711865483E-18   1.59275283052031E-17
   12      6      6     3.37706192587304E-16   4.05247431104765E-15
   13      6      7     2.47453120773068E-18   3.21689057004988E-17
   14      6      8     7.62283716124110E-20   1.06719720257375E-18
