# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     7.92314543873056E-11   7.92314543873056E-11
    1      1      0     7.59040401202803E-01   7.59040401202803E-01
    2      1      1     8.70182963947787E-05   1.74036592789557E-04
    3      1      2     2.97406796003508E-07   8.92220388010523E-07
    3      2      1     1.45834835873241E-05   4.37504507619721E-05
    4      2      2     6.01852297065162E-02   2.40740918826065E-01
    6      3      3     3.17443251726669E-14   1.90465951036001E-13
    7      3      4     6.94216883399694E-11   4.85951818379786E-10
    7      4      3     2.02577838419651E-11   1.41804486893756E-10
    9      4      5     6.41395117469831E-17   5.77255605722848E-16
   10      5      5     8.37040491221357E-20   8.37040491221357E-19
   11      5      6     2.61448044296007E-18   2.87592848725608E-17
   12      6      6     3.95323982639866E-16   4.74388779167839E-15
   13      6      7     3.65334601846337E-18   4.74934982400238E-17
   14      6      8     1.47751225773201E-19   2.06851716082482E-18
