# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     4.90666843623779E-10   4.90666843623779E-10
    1      1      0     7.71437944578019E-01   7.71437944578019E-01
    2      1      1     3.22481171479963E-04   6.44962342959926E-04
    3      1      2     1.08104398087940E-06   3.24313194263821E-06
    3      2      1     2.56071650907616E-05   7.68214952722849E-05
    4      2      2     5.69592563900063E-02   2.27837025560025E-01
    6      3      3     1.09938434349224E-13   6.59630606095345E-13
    7      3      4     3.42054102443731E-10   2.39437871710612E-09
    7      4      3     8.65716525820949E-13   6.06001568074664E-12
    9      4      5     1.26937610157668E-15   1.14243849141901E-14
   10      5      5     7.16734045929395E-19   7.16734045929395E-18
   11      5      6     4.91650928557815E-18   5.40816021413597E-17
   12      6      6     2.60790340127402E-16   3.12948408152883E-15
   13      6      7     1.52589601793892E-18   1.98366482332060E-17
   14      6      8     3.13658637215965E-20   4.39122092102351E-19
