# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 5.966149070342740765e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 5.539464874496059787e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 5.143296074902269609e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 4.775460286046428332e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 4.433931201217104941e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 4.116827430137152445e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 3.822402134899480393e-03 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 3.549033407114990206e-03 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 3.295215333263062322e-03 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 3.059549699026030585e-03 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 2.840738286909086970e-03 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 2.637575724715339465e-03 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 2.448942845480185388e-03 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 2.273800522286748005e-03 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 2.111183944000020497e-03 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 1.960197300386315542e-03 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 1.820008847339814979e-03 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 1.689846325031866062e-03 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 1.568992703742905052e-03 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 1.456782233941922690e-03 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 1.352596778854470031e-03 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 1.255862409316301940e-03 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 1.166046242154656579e-03 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 1.082653504680663624e-03 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 1.005224809121984348e-03 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 9.333336219812809901e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 8.665839143798794103e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 8.046079804430480813e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 7.470644117089465320e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 6.936362164028253173e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 6.440290732160782296e-04 8.343346788662415747e-01
2.458418361638500826e+01 2.689661901605829630e+00 5.979697099706836501e-04 8.343346788662415747e-01
2.583092644112147340e+01 2.623950243401548921e+00 5.552043982375569776e-04 8.343346788662415747e-01
2.714089559443110389e+01 2.559843999625518673e+00 5.154975556160525845e-04 8.343346788662415747e-01
2.851729748628510919e+01 2.497303948082518321e+00 4.786304479749877426e-04 8.343346788662415747e-01
2.996350113399157777e+01 2.436291824822481189e+00 4.443999845061606755e-04 8.343346788662415747e-01
3.148304640853506697e+01 2.376770300729420526e+00 4.126175989526608486e-04 8.343346788662415747e-01
3.307965269911476724e+01 2.318702958682312687e+00 3.831082108489553798e-04 8.343346788662415747e-01
3.475722801708908349e+01 2.262054271273973516e+00 3.557092610505125925e-04 8.343346788662415747e-01
3.651987856161048285e+01 2.206789579074279750e+00 3.302698162399532911e-04 8.343346788662415747e-01
3.837191877036446641e+01 2.152875069424452281e+00 3.066497374767047967e-04 8.343346788662415747e-01
4.031788188001345929e+01 2.100277755749423658e+00 2.847189082099253906e-04 8.343346788662415747e-01
4.236253102219521338e+01 2.048965457375615085e+00 2.643565175020244021e-04 8.343346788662415747e-01
4.451087088223422228e+01 1.998906779841811421e+00 2.454503945142696986e-04 8.343346788662415747e-01
4.676815994910450058e+01 1.950071095691039869e+00 2.278963905883243262e-04 8.343346788662415747e-01
