# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     4.04704316989397E-12   4.04704316989397E-12
    1      1      0     7.46192940113314E-01   7.46192940113314E-01
    2      1      1     1.06132231089403E-05   2.12264462178805E-05
    3      1      2     3.38398706620637E-08   1.01519611986191E-07
    3      2      1     6.32495232537941E-06   1.89748569761382E-05
    4      2      2     6.34416879323907E-02   2.53766751729563E-01
    6      3      3     4.27879407854490E-15   2.56727644712694E-14
    7      3      4     1.41503373688067E-11   9.90523615816472E-11
    7      4      3     7.47310424298205E-10   5.23117297008743E-09
    9      4      5     1.34366687312877E-18   1.20930018581589E-17
   11      5      6     9.66706614652822E-16   1.06337727611810E-14
   12      6      6     8.53502803205458E-16   1.02420336384655E-14
   13      6      7     2.63716388259159E-17   3.42831304736907E-16
   14      6      8     3.52209883696386E-18   4.93093837174940E-17
