# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     1.19486682490753E-11   1.19486682490753E-11
    1      1      0     7.51034018204150E-01   7.51034018204150E-01
    2      1      1     2.23235599127328E-05   4.46471198254657E-05
    3      1      2     7.38814284691759E-08   2.21644285407528E-07
    3      2      1     8.17341085616521E-06   2.45202325684956E-05
    4      2      2     6.22241476376229E-02   2.48896590550491E-01
    6      3      3     8.65095971168968E-15   5.19057582701381E-14
    7      3      4     2.46922965089890E-11   1.72846075562923E-10
    7      4      3     2.94830099574567E-10   2.06381069702197E-09
    9      4      5     5.22504992138647E-18   4.70254492924782E-17
   11      5      6     2.47496632284710E-16   2.72246295513181E-15
   12      6      6     6.31925417659555E-16   7.58310501191466E-15
   13      6      7     1.27111643881718E-17   1.65245137046233E-16
   14      6      8     1.09100981761233E-18   1.52741374465727E-17
