# 1:iteration 2:time[s], 3:T[GK], 4:rho[g/cm3], 5:Ye 
# 6:R[km], 7:Y_n, 8:Y_p, 9:Y_alpha, 10:Y_lights 
# 11:Y_heavies 12:<Z> 13:<A> 14:entropy [kB/baryon] (15:Sn [MeV])
       0  5.3045170248788622E+00   5.7903212997748152E+00   6.5540602130023196E-04   8.3433467886624157E-01   1.0000000000000000E+00   1.6566532113375843E-01   8.3433467886624157E-01   1.0000000000000000E-99   1.0000000000000000E-99   1.0000000000000000E-99   8.3433467886624157E-01   1.0000000000000000E+00   9.2948762030767807E+10
       1  5.3045170248808624E+00   5.7903212997737503E+00   6.5540602129987048E-04   8.3433467886624191E-01   1.0000000000000000E+00   1.6566532113363966E-01   8.3433467886612356E-01   1.0000000000000000E-99   1.1838735826682413E-13   1.0000000000000000E-99   8.3433467886634061E-01   1.0000000000001183E+00   9.2948762030765503E+10
       2  5.3045170248848628E+00   5.7903212997716205E+00   6.5540602129914754E-04   8.3433467886624280E-01   1.0000000000000000E+00   1.6566532113363666E-01   8.3433467886612211E-01   1.0000000000000000E-99   1.2064327477791377E-13   1.0000000000000000E-99   8.3433467886634338E-01   1.0000000000001206E+00   9.2948762030760895E+10
       3  5.3045170248928626E+00   5.7903212997673608E+00   6.5540602129770089E-04   8.3433467886624424E-01   1.0000000000000000E+00   1.6566532113363514E-01   8.3433467886612356E-01   1.0000000000000000E-99   1.2066487133968512E-13   1.0000000000000000E-99   8.3433467886634494E-01   1.0000000000001208E+00   9.2948762030751816E+10
       4  5.3045170249088622E+00   5.7903212997588440E+00   6.5540602129480780E-04   8.3433467886624724E-01   1.0000000000000000E+00   1.6566532113363214E-01   8.3433467886612656E-01   1.0000000000000000E-99   1.2066497496641405E-13   1.0000000000000000E-99   8.3433467886634793E-01   1.0000000000001208E+00   9.2948762030733810E+10
       5  5.3045170249408624E+00   5.7903212997418061E+00   6.5540602128902272E-04   8.3433467886625323E-01   1.0000000000000000E+00   1.6566532113362611E-01   8.3433467886613255E-01   1.0000000000000000E-99   1.2066497522119406E-13   1.0000000000000000E-99   8.3433467886635393E-01   1.0000000000001208E+00   9.2948762030697327E+10
       6  5.3045170250048628E+00   5.7903212997077320E+00   6.5540602127745254E-04   8.3433467886626522E-01   1.0000000000000000E+00   1.6566532113361410E-01   8.3433467886614454E-01   1.0000000000000000E-99   1.2066497523003493E-13   1.0000000000000000E-99   8.3433467886636592E-01   1.0000000000001208E+00   9.2948762030624496E+10
       7  5.3045170251328626E+00   5.7903212996395839E+00   6.5540602125431166E-04   8.3433467886628931E-01   1.0000000000000000E+00   1.6566532113359003E-01   8.3433467886616863E-01   1.0000000000000000E-99   1.2066497524100603E-13   1.0000000000000000E-99   8.3433467886639001E-01   1.0000000000001208E+00   9.2948762030478851E+10
       8  5.3045170253888623E+00   5.7903212995032902E+00   6.5540602120802978E-04   8.3433467886633739E-01   1.0000000000000000E+00   1.6566532113354193E-01   8.3433467886621671E-01   1.0000000000000000E-99   1.2066497525473559E-13   1.0000000000000000E-99   8.3433467886643808E-01   1.0000000000001208E+00   9.2948762030187836E+10
       9  5.3045170259008625E+00   5.7903212992306994E+00   6.5540602111546678E-04   8.3433467886643364E-01   1.0000000000000000E+00   1.6566532113344570E-01   8.3433467886631296E-01   1.0000000000000000E-99   1.2066497527451053E-13   1.0000000000000000E-99   8.3433467886653434E-01   1.0000000000001208E+00   9.2948762029605453E+10
      10  5.3045170269248629E+00   5.7903212986855195E+00   6.5540602093033936E-04   8.3433467886662604E-01   1.0000000000000000E+00   1.6566532113325325E-01   8.3433467886650536E-01   1.0000000000000000E-99   1.2066497530913889E-13   1.0000000000000000E-99   8.3433467886672685E-01   1.0000000000001208E+00   9.2948762028440918E+10
      11  5.3045170289728629E+00   5.7903212975951570E+00   6.5540602056008649E-04   8.3433467886701096E-01   1.0000000000000000E+00   1.6566532113286836E-01   8.3433467886689028E-01   1.0000000000000000E-99   1.2066497537638652E-13   1.0000000000000000E-99   8.3433467886711166E-01   1.0000000000001208E+00   9.2948762026111481E+10
      12  5.3045170330688629E+00   5.7903212954144339E+00   6.5540601981957890E-04   8.3433467886778079E-01   1.0000000000000000E+00   1.6566532113209856E-01   8.3433467886766011E-01   1.0000000000000000E-99   1.2066497551040596E-13   1.0000000000000000E-99   8.3433467886788149E-01   1.0000000000001208E+00   9.2948762021453003E+10
      13  5.3045170412608629E+00   5.7903212910529911E+00   6.5540601833856372E-04   8.3433467886932033E-01   1.0000000000000000E+00   1.6566532113055896E-01   8.3433467886919965E-01   1.0000000000000000E-99   1.2066497577838439E-13   1.0000000000000000E-99   8.3433467886942114E-01   1.0000000000001208E+00   9.2948762012136124E+10
      14  5.3045170576448628E+00   5.7903212823301002E+00   6.5540601537653466E-04   8.3433467887239954E-01   1.0000000000000000E+00   1.6566532112747978E-01   8.3433467887227886E-01   1.0000000000000000E-99   1.2066497631433891E-13   1.0000000000000000E-99   8.3433467887250023E-01   1.0000000000001208E+00   9.2948761993502014E+10
      15  5.3045170904128627E+00   5.7903212648843212E+00   6.5540600945247470E-04   8.3433467887855794E-01   1.0000000000000000E+00   1.6566532112132140E-01   8.3433467887843726E-01   1.0000000000000000E-99   1.2066497738624841E-13   1.0000000000000000E-99   8.3433467887865864E-01   1.0000000000001208E+00   9.2948761956234238E+10
      16  5.3045171559488624E+00   5.7903212299927622E+00   6.5540599760435672E-04   8.3433467889087465E-01   1.0000000000000000E+00   1.6566532110900470E-01   8.3433467889075397E-01   1.0000000000000000E-99   1.2066497953006705E-13   1.0000000000000000E-99   8.3433467889097535E-01   1.0000000000001208E+00   9.2948761881698273E+10
      17  5.3045172870208628E+00   5.7903211602096469E+00   6.5540597390812132E-04   8.3433467891550817E-01   1.0000000000000000E+00   1.6566532108437121E-01   8.3433467891538748E-01   1.0000000000000000E-99   1.2066498381770323E-13   1.0000000000000000E-99   8.3433467891560886E-01   1.0000000000001208E+00   9.2948761732626450E+10
      18  5.3045175491648626E+00   5.7903210206434155E+00   6.5540592651565203E-04   8.3433467896477498E-01   1.0000000000000000E+00   1.6566532103510426E-01   8.3433467896465430E-01   1.0000000000000000E-99   1.2066499239297723E-13   1.0000000000000000E-99   8.3433467896487579E-01   1.0000000000001208E+00   9.2948761434482788E+10
      19  5.3045180734528623E+00   5.7903207415109668E+00   6.5540583173072430E-04   8.3433467906330894E-01   1.0000000000000000E+00   1.6566532093657033E-01   8.3433467906318826E-01   1.0000000000000000E-99   1.2066500954352639E-13   1.0000000000000000E-99   8.3433467906340975E-01   1.0000000000001208E+00   9.2948760838195572E+10
      20  5.3045191220288626E+00   5.7903201832461066E+00   6.5540564216090991E-04   8.3433467926037674E-01   1.0000000000000000E+00   1.6566532073950252E-01   8.3433467926025606E-01   1.0000000000000000E-99   1.2066504384463849E-13   1.0000000000000000E-99   8.3433467926047755E-01   1.0000000000001208E+00   9.2948759645620895E+10
      21  5.3045212191808622E+00   5.7903190667165498E+00   6.5540526302144573E-04   8.3433467965451236E-01   1.0000000000000000E+00   1.6566532034536688E-01   8.3433467965439168E-01   1.0000000000000000E-99   1.2066511244690538E-13   1.0000000000000000E-99   8.3433467965461316E-01   1.0000000000001208E+00   9.2948757260470978E+10
      22  5.3045254134848623E+00   5.7903168336580801E+00   6.5540450474317581E-04   8.3433468044278369E-01   1.0000000000000000E+00   1.6566531955709557E-01   8.3433468044266301E-01   1.0000000000000000E-99   1.2066524965161713E-13   1.0000000000000000E-99   8.3433468044288450E-01   1.0000000000001208E+00   9.2948752490168640E+10
      23  5.3045338020928625E+00   5.7903123675437254E+00   6.5540298818926612E-04   8.3433468201932626E-01   1.0000000000000000E+00   1.6566531798055301E-01   8.3433468201920558E-01   1.0000000000000000E-99   1.2066552406174711E-13   1.0000000000000000E-99   8.3433468201942707E-01   1.0000000000001208E+00   9.2948742949554871E+10
      24  5.3045505793088621E+00   5.7903034353253480E+00   6.5539995509197608E-04   8.3433468517241127E-01   1.0000000000000000E+00   1.6566531482746796E-01   8.3433468517229059E-01   1.0000000000000000E-99   1.2066607288484186E-13   1.0000000000000000E-99   8.3433468517251208E-01   1.0000000000001208E+00   9.2948723868289505E+10
      25  5.3045841337408621E+00   5.7902855709299326E+00   6.5539388893950533E-04   8.3433469147858108E-01   1.0000000000000000E+00   1.6566530852129813E-01   8.3433469147846040E-01   1.0000000000000000E-99   1.2066717054235838E-13   1.0000000000000000E-99   8.3433469147868189E-01   1.0000000000001208E+00   9.2948685705608780E+10
      26  5.3046512426048622E+00   5.7902498423044486E+00   6.5538175680300180E-04   8.3433470409091981E-01   1.0000000000000000E+00   1.6566529590895940E-01   8.3433470409079913E-01   1.0000000000000000E-99   1.2066936590270993E-13   1.0000000000000000E-99   8.3433470409102062E-01   1.0000000000001208E+00   9.2948609379646942E+10
      27  5.3047854603328624E+00   5.7901783857148645E+00   6.5535749320373184E-04   8.3433472931559349E-01   1.0000000000000000E+00   1.6566527068428577E-01   8.3433472931547281E-01   1.0000000000000000E-99   1.2067375680469059E-13   1.0000000000000000E-99   8.3433472931569430E-01   1.0000000000001208E+00   9.2948456725321548E+10
      28  5.3050538957888627E+00   5.7900354751811864E+00   6.5530896870002640E-04   8.3433477976492543E-01   1.0000000000000000E+00   1.6566522023495384E-01   8.3433477976480475E-01   1.0000000000000000E-99   1.2068253933381945E-13   1.0000000000000000E-99   8.3433477976502624E-01   1.0000000000001208E+00   9.2948151407062988E+10
      29  5.3055907667008624E+00   5.7897496646955036E+00   6.5521193047102038E-04   8.3433488066352779E-01   1.0000000000000000E+00   1.6566511933635145E-01   8.3433488066340711E-01   1.4612306987811593E-25   1.2070010729319134E-13   1.0000000000000000E-99   8.3433488066362860E-01   1.0000000000001208E+00   9.2947540732114456E+10
      30  5.3066645085248627E+00   5.7891780860483770E+00   6.5501789711917705E-04   8.3433508246048660E-01   1.0000000000000000E+00   1.6566491753939247E-01   8.3433508246036592E-01   4.3864403527899181E-25   1.2073525481991697E-13   1.0000000000000000E-99   8.3433508246058752E-01   1.0000000000001208E+00   9.2946319228479355E+10
      31  5.3088119921728625E+00   5.7880350980316022E+00   6.5463000278059901E-04   8.3433548605342123E-01   1.0000000000000000E+00   1.6566451394645776E-01   8.3433548605330043E-01   1.0247881056729473E-24   1.2080559633358775E-13   1.0000000000000000E-99   8.3433548605352215E-01   1.0000000000001208E+00   9.2943875606160583E+10
      32  5.3131069594688629E+00   5.7857497989519873E+00   6.5385490308759629E-04   8.3433629323535752E-01   1.0000000000000000E+00   1.6566370676452127E-01   8.3433629323523661E-01   2.2015074682770598E-24   1.2094646542836160E-13   1.0000000000000000E-99   8.3433629323545855E-01   1.0000000000001210E+00   9.2938985900553452E+10
      33  5.3216968940608629E+00   5.7811819073612787E+00   6.5230745583219315E-04   8.3433790758349879E-01   1.0000000000000000E+00   1.6566209241637989E-01   8.3433790758337756E-01   4.5728519046955685E-24   1.2122894970417512E-13   1.0000000000000000E-99   8.3433790758360005E-01   1.0000000000001212E+00   9.2929196639262131E+10
      34  5.3388767632448628E+00   5.7720569404835986E+00   6.4922353946320543E-04   8.3434113621685624E-01   1.0000000000000000E+00   1.6565886378302197E-01   8.3434113621673445E-01   9.3886033463380764E-24   1.2179691719917412E-13   1.0000000000000000E-99   8.3434113621695782E-01   1.0000000000001219E+00   9.2909578666772339E+10
      35  5.3732365016128627E+00   5.7538501922983860E+00   6.4309937732448920E-04   8.3434759323188090E-01   1.0000000000000000E+00   1.6565240676799620E-01   8.3434759323175800E-01   1.9323790581410301E-23   1.2294496581390668E-13   1.0000000000000000E-99   8.3434759323198338E-01   1.0000000000001228E+00   9.2870184525110489E+10
      36  5.4419559783488625E+00   5.7176088029335466E+00   6.3102381680052303E-04   8.3436050625524916E-01   1.0000000000000000E+00   1.6563949374462564E-01   8.3436050625512381E-01   4.0499798817939439E-23   1.2529047767918952E-13   1.0000000000000000E-99   8.3436050625535363E-01   1.0000000000001252E+00   9.2790760274686142E+10
      37  5.5735261017168867E+00   5.6488568228022249E+00   6.0853300692288584E-04   8.3438522580506669E-01   1.0000000000000000E+00   1.6561477419480336E-01   8.3438522580493668E-01   8.6486560972608788E-23   1.2997224350786798E-13   1.0000000000000000E-99   8.3438522580517516E-01   1.0000000000001301E+00   9.2636305765186432E+10
      38  5.7673484412813254E+00   5.5531337198631094E+00   5.7811845354208504E-04   8.3442163336928266E-01   1.0000000000000000E+00   1.6557836663058084E-01   8.3442163336914565E-01   1.6790134593208087E-22   1.3704151401170731E-13   1.0000000000000000E-99   8.3442163336939656E-01   1.0000000000001372E+00   9.2412664299408188E+10
      39  5.8561774919044280E+00   5.5108484922520971E+00   5.6501223437032582E-04   8.3443831732585727E-01   1.0000000000000000E+00   1.6556168267400292E-01   8.3443831732571694E-01   2.0847824485424806E-22   1.4038765367621902E-13   1.0000000000000000E-99   8.3443831732597396E-01   1.0000000000001406E+00   9.2310547748643997E+10
      40  6.0338355931506333E+00   5.4291169061858175E+00   5.4024408233439771E-04   8.3447167851526927E-01   1.0000000000000000E+00   1.6552832148458396E-01   8.3447167851512194E-01   3.0432002020448381E-22   1.4728260698598299E-13   1.0000000000000000E-99   8.3447167851539172E-01   1.0000000000001472E+00   9.2107127867126221E+10
