# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  1.70305442548239E-009     1.64401167793573E+016     1.65764076716416E+016     1.56637902097367E+003     1.20779618183713E+013     8.87904364281925E+015     4.68083024956970E+007     3.90160837354382E+005     7.81902369644564E-003     5.34052983866865E+002     0.00000000000000E+000
  2.53347349153499E-009     1.64429868311287E+016     1.65012767863648E+016     2.32726918741513E+003     1.79449979915466E+013     8.87904975172838E+015     4.68299579003512E+007     8.62345326652570E+005     1.72818270299311E-002     7.94468458339140E+002     0.00000000000000E+000
  3.36389255758759E-009     1.64495820030333E+016     1.65816400212686E+016     3.08622683123354E+003     2.37971329594507E+013     8.87905586136482E+015     4.68516130835712E+007     1.51840675926352E+006     3.04295933359248E-002     1.05488943661752E+003     0.00000000000000E+000
  7.68486275911518E-009     1.64685419223818E+016     1.66247800982934E+016     7.00440324607661E+003     5.40092236969043E+013     8.87908766364830E+015     4.69642892443257E+007     7.87272551297070E+006     1.57772361478958E-001     2.41004267475390E+003     0.00000000000000E+000
  1.20058329606428E-008     1.64993572687202E+016     1.66253786524749E+016     1.08711322101835E+004     8.38246158317281E+013     8.87911948525680E+015     4.70769594065723E+007     1.90890629382541E+007     3.82550007987338E-001     3.76534500113689E+003     0.00000000000000E+000
  1.75597865235256E-008     1.65341398792898E+016     1.66400374208379E+016     1.57665214307255E+004     1.21571753149221E+014     8.87916041514621E+015     4.72217710463517E+007     4.04922812730624E+007     8.11471006288397E-001     5.50760009084563E+003     0.00000000000000E+000
  2.31137400864084E-008     1.65728613327018E+016     1.66815080564681E+016     2.05791986248448E+004     1.58681118432648E+014     8.87920137600794E+015     4.73665727759244E+007     6.95689428353947E+007     1.39416226034322E+000     7.25010147435044E+003     0.00000000000000E+000
  2.86676936492913E-008     1.66109710607233E+016     1.67333886370488E+016     2.53106176845353E+004     1.95163922284547E+014     8.87924236723452E+015     4.75113645954008E+007     1.06123560076360E+008     2.12670320261049E+000     8.99284913792790E+003     0.00000000000000E+000
  4.13623132343046E-008     1.66718068556296E+016     1.67656876229405E+016     3.58274874621200E+004     2.76256907698274E+014     8.87933617141062E+015     4.78422766875108E+007     2.16738744124707E+008     4.34335299316302E+000     1.29771558480060E+004     0.00000000000000E+000
  5.40569328193180E-008     1.67540235916759E+016     1.68355525214525E+016     4.59431399386855E+004     3.54256205467560E+014     8.87943012448647E+015     4.81731370075879E+007     3.63234025907983E+008     7.27894769887348E+000     1.69627489789288E+004     0.00000000000000E+000
  6.67515524043314E-008     1.68331953219268E+016     1.69027191904165E+016     5.56729641097132E+004     4.29280476340643E+014     8.87952422003223E+015     4.85039455570214E+007     5.43524639406616E+008     1.08916784734484E+001     2.09496283631938E+004     0.00000000000000E+000
  8.99746726823049E-008     1.69399620222006E+016     1.69936359758605E+016     7.25224605626908E+004     5.59202781260265E+014     8.87969670374120E+015     4.91089818795149E+007     9.54343306801367E+008     1.91235414143025E+001     2.82464228450544E+004     0.00000000000000E+000
  1.13197792960278E-007     1.70703339416710E+016     1.71191356216658E+016     8.82157063432588E+004     6.80209522443240E+014     8.87986960785054E+015     4.97138449598426E+007     1.46047460431760E+009     2.92648170575739E+001     3.55475202695319E+004     0.00000000000000E+000
  1.36420913238252E-007     1.71920973365604E+016     1.72329792991286E+016     1.02832320312837E+005     7.92914621291046E+014     8.88004289909434E+015     5.03185348061035E+007     2.05172445334646E+009     4.11110866166448E+001     4.28529195726124E+004     0.00000000000000E+000
  1.59644033516225E-007     1.73058266504487E+016     1.73382797055941E+016     1.16446447327188E+005     8.97889790497845E+014     8.88021654649411E+015     5.09230514265799E+007     2.71885281992111E+009     5.44770696830503E+001     5.01626196743775E+004     0.00000000000000E+000
  1.99026749500308E-007     1.74468669911138E+016     1.74636132601058E+016     1.37434472937785E+005     1.05972326865578E+015     8.88051175867791E+015     5.19478194597800E+007     4.00047028959274E+009     8.01528455659221E+001     6.25685356208716E+004     0.00000000000000E+000
  2.38409465484391E-007     1.76077431912750E+016     1.76155334874961E+016     1.56042513402799E+005     1.20320526839608E+015     8.88080778495128E+015     5.29720893879858E+007     5.44085954942238E+009     1.09007221516635E+002     7.49868115490240E+004     0.00000000000000E+000
  2.77792181468473E-007     1.77513648398187E+016     1.77550695354858E+016     1.72542228369426E+005     1.33043049025145E+015     8.88110451182038E+015     5.39958612630325E+007     7.00993002303647E+009     1.40436921083529E+002     8.74174419255655E+004     0.00000000000000E+000
  3.17174897452556E-007     1.78796110396230E+016     1.78718330738431E+016     1.87174193272751E+005     1.44325395206242E+015     8.88140183878268E+015     5.50191351439411E+007     8.68240876734926E+009     1.73935291580375E+002     9.98604211211863E+004     0.00000000000000E+000
  3.56557613436638E-007     1.79943426833335E+016     1.79821631891496E+016     2.00151466928009E+005     1.54331849780116E+015     8.88169967683654E+015     5.60419110977522E+007     1.04371311689500E+010     2.09078072796397E+002     1.12315743419529E+005     0.00000000000000E+000
  4.04719069656782E-007     1.81075480940430E+016     1.80837195282726E+016     2.14046255642625E+005     1.65045777351596E+015     8.88206448580687E+015     5.72919957809659E+007     1.26692393853343E+010     2.53777589596355E+002     1.27564230685707E+005     0.00000000000000E+000
  4.52880525876926E-007     1.82174720831437E+016     1.81858832981933E+016     2.26049469337837E+005     1.74301158082862E+015     8.88242981560136E+015     5.85413360820049E+007     1.49717642940530E+010     2.99882475423375E+002     1.42831157713932E+005     0.00000000000000E+000
  5.01041982097070E-007     1.83138430659877E+016     1.82768666553005E+016     2.36421611561206E+005     1.82298859834029E+015     8.88279555743454E+015     5.97899321780116E+007     1.73238235490323E+010     3.46974243714408E+002     1.58116513623777E+005     0.00000000000000E+000
  5.49203438317214E-007     1.83985339177655E+016     1.83576699225829E+016     2.45387289198998E+005     1.89212071435095E+015     8.88316161752778E+015     6.10377842664959E+007     1.97089915668821E+010     3.94723760885096E+002     1.73420287410983E+005     0.00000000000000E+000
  5.97364894537357E-007     1.84731615523671E+016     1.84311072428967E+016     2.53140154417091E+005     1.95190113294682E+015     8.88352791504411E+015     6.22848925648279E+007     2.21144669262034E+010     4.42874547005965E+002     1.88742467962325E+005     0.00000000000000E+000
  6.54178476644190E-007     1.85444479070437E+016     1.84968525647392E+016     2.60953282790068E+005     2.01214622357290E+015     8.88396022793905E+015     6.37550859044068E+007     2.49649563170068E+010     4.99926331656889E+002     2.06840901516626E+005     0.00000000000000E+000
  7.10992058751022E-007     1.86118962567621E+016     1.85584860310521E+016     2.67544048236019E+005     2.06296597518168E+015     8.88439267705560E+015     6.52242449584906E+007     2.78181286648404E+010     5.57024204730617E+002     2.24964915227277E+005     0.00000000000000E+000
  7.67805640857855E-007     1.86707276083027E+016     1.86148870751064E+016     2.73108002117782E+005     2.10586823609866E+015     8.88482518084990E+015     6.66923701808559E+007     3.06654737333736E+010     6.13997759571169E+002     2.43114490405768E+005     0.00000000000000E+000
  8.24619222964687E-007     1.87222819687951E+016     1.86612311872921E+016     2.77809446270524E+005     2.14211989724921E+015     8.88525767084656E+015     6.81594620555249E+007     3.35012119666358E+010     6.70731306364501E+002     2.61289608246288E+005     0.00000000000000E+000
