# Z,Logeps
31   2.7773466
32   3.2717620
33   1.5822114
34   2.8375336
35   2.2628570
36   2.9456309
37   1.9143167
38   2.7851031
39   1.9861298
40   2.4285020
41   1.1738315
42   1.5867432
44   1.3681370
45   0.2388335
46   1.2620327
47   0.4850899
48   1.3666933
49   0.2095195
50   1.9154162
51   0.2088930
52   1.4237983
53   0.2091816
54   1.4971369
55   0.2098184
56   2.0355865
57   0.9869009
58   1.4393658
59   0.3966649
60   1.1501686
62   0.3292448
63  -1.2359734
64   0.2340164
65  -0.9668276
66   0.1308702
67  -0.7516134
68   0.0979855
69  -0.7558232
70   0.3648535
71  -0.7109440
72   0.3810251
73  -0.6002240
74   0.2943217
75  -0.8009048
76   0.2353648
77  -0.6398317
78   0.3170905
79  -0.5123448
80   0.8388216
81   0.5438684
82   1.8715452
83   0.1576267
90        -inf
92        -inf
