50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.49201e-02 4.98508e+00 -2.68747e-07
1.49201e-02 4.99717e+00 -2.31752e-07
3.66148e-02 2.83399e-03 3.12776e-05
3.66148e-02 1.49201e-02 8.66518e-04
3.66148e-02 3.66148e-02 5.20596e-03
3.66148e-02 6.78390e-02 1.77461e-02
3.66148e-02 1.08473e-01 4.46847e-02
3.66148e-02 1.58358e-01 9.26241e-02
3.66148e-02 2.17304e-01 1.66768e-01
3.66148e-02 2.85080e-01 2.68778e-01
3.66148e-02 3.61426e-01 3.95214e-01
3.66148e-02 4.46045e-01 5.37615e-01
3.66148e-02 5.38610e-01 6.84448e-01
3.66148e-02 6.38764e-01 8.24063e-01
3.66148e-02 7.46119e-01 9.47214e-01
3.66148e-02 8.60259e-01 1.04828e+00
3.66148e-02 9.80743e-01 1.12521e+00
3.66148e-02 1.10710e+00 1.17871e+00
3.66148e-02 1.23885e+00 1.21110e+00
3.66148e-02 1.37548e+00 1.22508e+00
3.66148e-02 1.51646e+00 1.22240e+00
3.66148e-02 1.66125e+00 1.20222e+00
3.66148e-02 1.80928e+00 1.15933e+00
3.66148e-02 1.95998e+00 1.08305e+00
3.66148e-02 2.11277e+00 9.58561e-01
3.66148e-02 2.26706e+00 7.73734e-01
3.66148e-02 2.42225e+00 5.33013e-01
3.66148e-02 2.57775e+00 2.72130e-01
3.66148e-02 2.73294e+00 5.42686e-02
3.66148e-02 2.88723e+00 -6.79049e-02
3.66148e-02 3.04002e+00 -9.57631e-02
3.66148e-02 3.19072e+00 -7.56282e-02
3.66148e-02 3.33875e+00 -4.83370e-02
3.66148e-02 3.48354e+00 -2.80415e-02
3.66148e-02 3.62452e+00 -1.52357e-02
3.66148e-02 3.76115e+00 -7.80926e-03
3.66148e-02 3.89290e+00 -3.79699e-03
3.66148e-02 4.01926e+00 -1.76364e-03
3.66148e-02 4.13974e+00 -7.89399e-04
3.66148e-02 4.25388e+00 -3.44000e-04
3.66148e-02 4.36124e+00 -1.47658e-04
3.66148e-02 4.46139e+00 -6.32364e-05
3.66148e-02 4.55396e+00 -2.73934e-05
3.66148e-02 4.63857e+00 -1.21757e-05
3.66148e-02 4.71492e+00 -5.63380e-06
3.66148e-02 4.78270e+00 -2.75279e-06
3.66148e-02 4.84164e+00 -1.43999e-06
3.66148e-02 4.89153e+00 -8.16741e-07
3.66148e-02 4.93216e+00 -5.08026e-07
3.66148e-02 4.96339e+00 -3.49920e-07
3.66148e-02 4.98508e+00 -2.68951e-07
3.66148e-02 4.99717e+00 -2.31929e-07
6.78390e-02 2.83399e-03 3.07666e-05
