50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.49201e-02 4.99717e+00 2.48240e-11
3.66148e-02 2.83399e-03 4.24238e-08
3.66148e-02 1.49201e-02 1.17460e-06
3.66148e-02 3.66148e-02 7.03478e-06
3.66148e-02 6.78390e-02 2.37625e-05
3.66148e-02 1.08473e-01 5.86622e-05
3.66148e-02 1.58358e-01 1.17309e-04
3.66148e-02 2.17304e-01 1.99430e-04
3.66148e-02 2.85080e-01 2.95773e-04
3.66148e-02 3.61426e-01 3.89231e-04
3.66148e-02 4.46045e-01 4.61165e-04
3.66148e-02 5.38610e-01 4.99206e-04
3.66148e-02 6.38764e-01 5.01150e-04
3.66148e-02 7.46119e-01 4.73241e-04
3.66148e-02 8.60259e-01 4.25551e-04
3.66148e-02 9.80743e-01 3.67933e-04
3.66148e-02 1.10710e+00 3.08011e-04
3.66148e-02 1.23885e+00 2.50838e-04
3.66148e-02 1.37548e+00 1.99349e-04
3.66148e-02 1.51646e+00 1.54943e-04
3.66148e-02 1.66125e+00 1.17926e-04
3.66148e-02 1.80928e+00 8.77923e-05
3.66148e-02 1.95998e+00 6.34210e-05
3.66148e-02 2.11277e+00 4.33735e-05
3.66148e-02 2.26706e+00 2.64050e-05
3.66148e-02 2.42225e+00 1.21413e-05
3.66148e-02 2.57775e+00 1.44001e-06
3.66148e-02 2.73294e+00 -4.32263e-06
3.66148e-02 2.88723e+00 -5.01448e-06
3.66148e-02 3.04002e+00 -2.70357e-06
3.66148e-02 3.19072e+00 -1.55622e-07
3.66148e-02 3.33875e+00 1.24859e-06
3.66148e-02 3.48354e+00 1.58599e-06
3.66148e-02 3.62452e+00 1.36313e-06
3.66148e-02 3.76115e+00 9.71188e-07
3.66148e-02 3.89290e+00 6.11885e-07
3.66148e-02 4.01926e+00 3.52145e-07
3.66148e-02 4.13974e+00 1.89197e-07
3.66148e-02 4.25388e+00 9.65979e-08
3.66148e-02 4.36124e+00 4.76384e-08
3.66148e-02 4.46139e+00 2.30549e-08
3.66148e-02 4.55396e+00 1.11232e-08
3.66148e-02 4.63857e+00 5.43467e-09
3.66148e-02 4.71492e+00 2.73104e-09
3.66148e-02 4.78270e+00 1.43293e-09
3.66148e-02 4.84164e+00 7.96274e-10
3.66148e-02 4.89153e+00 4.74854e-10
3.66148e-02 4.93216e+00 3.07471e-10
3.66148e-02 4.96339e+00 2.18332e-10
3.66148e-02 4.98508e+00 1.71367e-10
3.66148e-02 4.99717e+00 1.49503e-10
6.78390e-02 2.83399e-03 1.43289e-07
6.78390e-02 1.49201e-02 3.96735e-06
6.78390e-02 3.66148e-02 2.37625e-05
6.78390e-02 6.78390e-02 8.02839e-05
6.78390e-02 1.08473e-01 1.98287e-04
6.78390e-02 1.58358e-01 3.96843e-04
6.78390e-02 2.17304e-01 6.75461e-04
6.78390e-02 2.85080e-01 1.00335e-03
6.78390e-02 3.61426e-01 1.32278e-03
6.78390e-02 4.46045e-01 1.57020e-03
6.78390e-02 5.38610e-01 1.70270e-03
6.78390e-02 6.38764e-01 1.71190e-03
6.78390e-02 7.46119e-01 1.61851e-03
6.78390e-02 8.60259e-01 1.45675e-03
6.78390e-02 9.80743e-01 1.26038e-03
6.78390e-02 1.10710e+00 1.05565e-03
6.78390e-02 1.23885e+00 8.60033e-04
6.78390e-02 1.37548e+00 6.83702e-04
6.78390e-02 1.51646e+00 5.31534e-04
6.78390e-02 1.66125e+00 4.04638e-04
6.78390e-02 1.80928e+00 3.01305e-04
6.78390e-02 1.95998e+00 2.17711e-04
6.78390e-02 2.11277e+00 1.48931e-04
6.78390e-02 2.26706e+00 9.07021e-05
6.78390e-02 2.42225e+00 4.17449e-05
6.78390e-02 2.57775e+00 5.00690e-06
6.78390e-02 2.73294e+00 -1.47843e-05
6.78390e-02 2.88723e+00 -1.71721e-05
6.78390e-02 3.04002e+00 -9.25218e-06
6.78390e-02 3.19072e+00 -5.16219e-07
6.78390e-02 3.33875e+00 4.29669e-06
6.78390e-02 3.48354e+00 5.45014e-06
6.78390e-02 3.62452e+00 4.68235e-06
6.78390e-02 3.76115e+00 3.33535e-06
6.78390e-02 3.89290e+00 2.10115e-06
6.78390e-02 4.01926e+00 1.20915e-06
6.78390e-02 4.13974e+00 6.49606e-07
6.78390e-02 4.25388e+00 3.31655e-07
6.78390e-02 4.36124e+00 1.63555e-07
6.78390e-02 4.46139e+00 7.91519e-08
6.78390e-02 4.55396e+00 3.81874e-08
6.78390e-02 4.63857e+00 1.86577e-08
