50
7.27156e-03 2.83399e-03
1.68995e-02 1.49201e-02
2.64764e-02 3.66148e-02
3.59521e-02 6.78390e-02
4.52889e-02 1.08473e-01
5.44506e-02 1.58358e-01
6.34017e-02 2.17304e-01
7.21075e-02 2.85080e-01
8.05343e-02 3.61426e-01
8.86496e-02 4.46045e-01
9.64219e-02 5.38610e-01
1.03821e-01 6.38764e-01
1.49201e-02 4.98508e+00 8.74173e-06
1.49201e-02 4.99717e+00 7.61911e-06
3.66148e-02 2.83399e-03 -1.39720e+00
3.66148e-02 1.49201e-02 -1.39683e+00
3.66148e-02 3.66148e-02 -1.39491e+00
3.66148e-02 6.78390e-02 -1.38935e+00
3.66148e-02 1.08473e-01 -1.37734e+00
3.66148e-02 1.58358e-01 -1.35578e+00
3.66148e-02 2.17304e-01 -1.32186e+00
3.66148e-02 2.85080e-01 -1.27390e+00
3.66148e-02 3.61426e-01 -1.21187e+00
3.66148e-02 4.46045e-01 -1.13736e+00
3.66148e-02 5.38610e-01 -1.05292e+00
3.66148e-02 6.38764e-01 -9.61001e-01
3.66148e-02 7.46119e-01 -8.63100e-01
3.66148e-02 8.60259e-01 -7.59316e-01
3.66148e-02 9.80743e-01 -6.48425e-01
3.66148e-02 1.10710e+00 -5.28248e-01
3.66148e-02 1.23885e+00 -3.96201e-01
3.66148e-02 1.37548e+00 -2.49988e-01
3.66148e-02 1.51646e+00 -8.84878e-02
3.66148e-02 1.66125e+00 8.71049e-02
3.66148e-02 1.80928e+00 2.71898e-01
3.66148e-02 1.95998e+00 4.55962e-01
3.66148e-02 2.11277e+00 6.23791e-01
3.66148e-02 2.26706e+00 7.55953e-01
3.66148e-02 2.42225e+00 8.34361e-01
3.66148e-02 2.57775e+00 8.50255e-01
3.66148e-02 2.73294e+00 8.09016e-01
3.66148e-02 2.88723e+00 7.24891e-01
3.66148e-02 3.04002e+00 6.10860e-01
3.66148e-02 3.19072e+00 4.78783e-01
3.66148e-02 3.33875e+00 3.45976e-01
3.66148e-02 3.48354e+00 2.30811e-01
3.66148e-02 3.62452e+00 1.43198e-01
3.66148e-02 3.76115e+00 8.32602e-02
3.66148e-02 3.89290e+00 4.56874e-02
3.66148e-02 4.01926e+00 2.38311e-02
3.66148e-02 4.13974e+00 1.19150e-02
3.66148e-02 4.25388e+00 5.76603e-03
3.66148e-02 4.36124e+00 2.73113e-03
3.66148e-02 4.46139e+00 1.28194e-03
3.66148e-02 4.55396e+00 6.04277e-04
3.66148e-02 4.63857e+00 2.90070e-04
3.66148e-02 4.71492e+00 1.43825e-04
3.66148e-02 4.78270e+00 7.47024e-05
3.66148e-02 4.84164e+00 4.11986e-05
3.66148e-02 4.89153e+00 2.44314e-05
3.66148e-02 4.93216e+00 1.57556e-05
3.66148e-02 4.96339e+00 1.11564e-05
3.66148e-02 4.98508e+00 8.74066e-06
3.66148e-02 4.99717e+00 7.61818e-06
6.78390e-02 2.83399e-03 -1.39160e+00
6.78390e-02 1.49201e-02 -1.39123e+00
6.78390e-02 3.66148e-02 -1.38935e+00
6.78390e-02 6.78390e-02 -1.38389e+00
6.78390e-02 1.08473e-01 -1.37211e+00
6.78390e-02 1.58358e-01 -1.35091e+00
6.78390e-02 2.17304e-01 -1.31754e+00
6.78390e-02 2.85080e-01 -1.27026e+00
6.78390e-02 3.61426e-01 -1.20897e+00
6.78390e-02 4.46045e-01 -1.13515e+00
6.78390e-02 5.38610e-01 -1.05131e+00
6.78390e-02 6.38764e-01 -9.59855e-01
6.78390e-02 7.46119e-01 -8.62304e-01
6.78390e-02 8.60259e-01 -7.58787e-01
6.78390e-02 9.80743e-01 -6.48113e-01
6.78390e-02 1.10710e+00 -5.28128e-01
6.78390e-02 1.23885e+00 -3.96264e-01
6.78390e-02 1.37548e+00 -2.50230e-01
6.78390e-02 1.51646e+00 -8.89038e-02
6.78390e-02 1.66125e+00 8.65248e-02
6.78390e-02 1.80928e+00 2.71174e-01
6.78390e-02 1.95998e+00 4.55125e-01
6.78390e-02 2.11277e+00 6.22883e-01
6.78390e-02 2.26706e+00 7.55024e-01
6.78390e-02 2.42225e+00 8.33461e-01
6.78390e-02 2.57775e+00 8.49433e-01
6.78390e-02 2.73294e+00 8.08309e-01
6.78390e-02 2.88723e+00 7.24317e-01
6.78390e-02 3.04002e+00 6.10424e-01
6.78390e-02 3.19072e+00 4.78471e-01
6.78390e-02 3.33875e+00 3.45768e-01
6.78390e-02 3.48354e+00 2.30680e-01
6.78390e-02 3.62452e+00 1.43121e-01
6.78390e-02 3.76115e+00 8.32175e-02
6.78390e-02 3.89290e+00 4.56649e-02
6.78390e-02 4.01926e+00 2.38199e-02
6.78390e-02 4.13974e+00 1.19096e-02
6.78390e-02 4.25388e+00 5.76350e-03
6.78390e-02 4.36124e+00 2.72997e-03
6.78390e-02 4.46139e+00 1.28141e-03
6.78390e-02 4.55396e+00 6.04035e-04
6.78390e-02 4.63857e+00 2.89957e-04
6.78390e-02 4.71492e+00 1.43770e-04
6.78390e-02 4.78270e+00 7.46743e-05
6.78390e-02 4.84164e+00 4.11833e-05
6.78390e-02 4.89153e+00 2.44225e-05
6.78390e-02 4.93216e+00 1.57499e-05
6.78390e-02 4.96339e+00 1.11524e-05
6.78390e-02 4.98508e+00 8.73756e-06
6.78390e-02 4.99717e+00 7.61548e-06
1.08473e-01 2.83399e-03 -1.37950e+00
1.08473e-01 1.49201e-02 -1.37915e+00
1.08473e-01 3.66148e-02 -1.37734e+00
1.08473e-01 6.78390e-02 -1.37211e+00
1.08473e-01 1.08473e-01 -1.36078e+00
1.08473e-01 1.58358e-01 -1.34038e+00
1.08473e-01 2.17304e-01 -1.30816e+00
1.08473e-01 2.85080e-01 -1.26233e+00
1.08473e-01 3.61426e-01 -1.20262e+00
1.08473e-01 4.46045e-01 -1.13032e+00
1.08473e-01 5.38610e-01 -1.04776e+00
1.08473e-01 6.38764e-01 -9.57331e-01
1.08473e-01 7.46119e-01 -8.60549e-01
1.08473e-01 8.60259e-01 -7.57620e-01
1.08473e-01 9.80743e-01 -6.47423e-01
1.08473e-01 1.10710e+00 -5.27861e-01
1.08473e-01 1.23885e+00 -3.96398e-01
1.08473e-01 1.37548e+00 -2.50758e-01
1.08473e-01 1.51646e+00 -8.98156e-02
1.08473e-01 1.66125e+00 8.52526e-02
1.08473e-01 1.80928e+00 2.69585e-01
1.08473e-01 1.95998e+00 4.53287e-01
1.08473e-01 2.11277e+00 6.20888e-01
1.08473e-01 2.26706e+00 7.52982e-01
1.08473e-01 2.42225e+00 8.31486e-01
1.08473e-01 2.57775e+00 8.47629e-01
1.08473e-01 2.73294e+00 8.06755e-01
1.08473e-01 2.88723e+00 7.23058e-01
1.08473e-01 3.04002e+00 6.09464e-01
1.08473e-01 3.19072e+00 4.77785e-01
1.08473e-01 3.33875e+00 3.45309e-01
1.08473e-01 3.48354e+00 2.30393e-01
1.08473e-01 3.62452e+00 1.42952e-01
1.08473e-01 3.76115e+00 8.31236e-02
