100
2.38756e-03 9.30388e-04
5.55553e-03 4.90116e-03
8.72276e-03 1.20408e-02
1.18819e-02 2.23440e-02
1.50295e-02 3.58007e-02
1.81624e-02 5.23980e-02
2.12776e-02 7.21196e-02
2.43720e-02 9.49462e-02
2.74426e-02 1.20856e-01
3.04864e-02 1.49822e-01
3.35004e-02 1.81818e-01
3.64816e-02 2.16812e-01
3.94272e-02 2.54770e-01
4.23343e-02 2.95654e-01
4.52001e-02 3.39425e-01
4.80216e-02 3.86039e-01
5.07963e-02 4.35452e-01
5.35213e-02 4.87615e-01
5.61940e-02 5.42477e-01
5.88118e-02 5.99985e-01
6.13722e-02 6.60082e-01
6.38725e-02 7.22709e-01
6.63105e-02 7.87806e-01
6.86837e-02 8.55309e-01
7.09898e-02 9.25151e-01
7.32265e-02 9.97265e-01
7.53916e-02 1.07158e+00
7.74831e-02 1.14802e+00
7.94989e-02 1.22652e+00
8.14370e-02 1.30700e+00
8.32956e-02 1.38937e+00
8.50727e-02 1.47356e+00
8.67667e-02 1.55949e+00
8.83760e-02 1.64706e+00
8.98989e-02 1.73621e+00
9.13340e-02 1.82683e+00
9.26798e-02 1.91885e+00
9.39350e-02 2.01216e+00
9.50985e-02 2.10669e+00
9.61691e-02 2.20233e+00
9.71457e-02 2.29899e+00
9.80274e-02 2.39659e+00
9.88133e-02 2.49502e+00
9.95026e-02 2.59418e+00
1.00095e-01 2.69399e+00
1.00589e-01 2.79434e+00
1.00985e-01 2.89514e+00
1.01282e-01 2.99628e+00
1.01481e-01 3.09767e+00
1.01580e-01 3.19921e+00
1.01580e-01 3.30079e+00
1.01481e-01 3.40233e+00
1.01282e-01 3.50372e+00
1.00985e-01 3.60486e+00
1.00589e-01 3.70566e+00
1.00095e-01 3.80601e+00
9.95026e-02 3.90582e+00
9.88133e-02 4.00498e+00
9.80274e-02 4.10341e+00
9.71457e-02 4.20101e+00
9.61691e-02 4.29767e+00
9.50985e-02 4.39331e+00
9.39350e-02 4.48784e+00
9.26798e-02 4.58115e+00
9.13340e-02 4.67317e+00
8.98989e-02 4.76379e+00
8.83760e-02 4.85294e+00
8.67667e-02 4.94051e+00
8.50727e-02 5.02644e+00
8.32956e-02 5.11063e+00
8.14370e-02 5.19300e+00
7.94989e-02 5.27348e+00
7.74831e-02 5.35198e+00
7.53916e-02 5.42842e+00
7.32265e-02 5.50273e+00
7.09898e-02 5.57485e+00
6.86837e-02 5.64469e+00
6.63105e-02 5.71219e+00
6.38725e-02 5.77729e+00
6.13722e-02 5.83992e+00
5.88118e-02 5.90002e+00
5.61940e-02 5.95752e+00
5.35213e-02 6.01238e+00
5.07963e-02 6.06455e+00
4.80216e-02 6.11396e+00
4.52001e-02 6.16058e+00
4.23343e-02 6.20435e+00
3.94272e-02 6.24523e+00
3.64816e-02 6.28319e+00
3.35004e-02 6.31818e+00
3.04864e-02 6.35018e+00
2.74426e-02 6.37914e+00
2.43720e-02 6.40505e+00
2.12776e-02 6.42788e+00
1.81624e-02 6.44760e+00
1.50295e-02 6.46420e+00
1.18819e-02 6.47766e+00
8.72276e-03 6.48796e+00
5.55553e-03 6.49510e+00
2.38756e-03 6.49907e+00
9.30388e-04 9.30388e-04 3.39412e-06
9.30388e-04 4.90116e-03 9.41834e-05
9.30388e-04 1.20408e-02 5.68294e-04
9.30388e-04 2.23440e-02 1.95545e-03
9.30388e-04 3.58007e-02 5.01152e-03
9.30388e-04 5.23980e-02 1.07012e-02
9.30388e-04 7.21196e-02 2.01650e-02
9.30388e-04 9.49462e-02 3.46642e-02
9.30388e-04 1.20856e-01 5.54980e-02
9.30388e-04 1.49822e-01 8.38920e-02
9.30388e-04 1.81818e-01 1.20863e-01
9.30388e-04 2.16812e-01 1.67073e-01
9.30388e-04 2.54770e-01 2.22695e-01
9.30388e-04 2.95654e-01 2.87319e-01
9.30388e-04 3.39425e-01 3.59919e-01
9.30388e-04 3.86039e-01 4.38902e-01
9.30388e-04 4.35452e-01 5.22227e-01
9.30388e-04 4.87615e-01 6.07593e-01
9.30388e-04 5.42477e-01 6.92635e-01
9.30388e-04 5.99985e-01 7.75120e-01
9.30388e-04 6.60082e-01 8.53101e-01
9.30388e-04 7.22709e-01 9.25015e-01
9.30388e-04 7.87806e-01 9.89727e-01
9.30388e-04 8.55309e-01 1.04653e+00
9.30388e-04 9.25151e-01 1.09509e+00
9.30388e-04 9.97265e-01 1.13541e+00
9.30388e-04 1.07158e+00 1.16774e+00
9.30388e-04 1.14802e+00 1.19251e+00
9.30388e-04 1.22652e+00 1.21025e+00
9.30388e-04 1.30700e+00 1.22149e+00
9.30388e-04 1.38937e+00 1.22665e+00
9.30388e-04 1.47356e+00 1.22594e+00
9.30388e-04 1.55949e+00 1.21923e+00
9.30388e-04 1.64706e+00 1.20586e+00
9.30388e-04 1.73621e+00 1.18451e+00
9.30388e-04 1.82683e+00 1.15303e+00
9.30388e-04 1.91885e+00 1.10845e+00
9.30388e-04 2.01216e+00 1.04709e+00
9.30388e-04 2.10669e+00 9.65044e-01
9.30388e-04 2.20233e+00 8.59130e-01
9.30388e-04 2.29899e+00 7.28365e-01
9.30388e-04 2.39659e+00 5.75805e-01
9.30388e-04 2.49502e+00 4.10152e-01
9.30388e-04 2.59418e+00 2.46003e-01
9.30388e-04 2.69399e+00 1.01494e-01
9.30388e-04 2.79434e+00 -7.00592e-03
9.30388e-04 2.89514e+00 -7.13150e-02
9.30388e-04 2.99628e+00 -9.50082e-02
9.30388e-04 3.09767e+00 -9.09301e-02
9.30388e-04 3.19921e+00 -7.40083e-02
9.30388e-04 3.30079e+00 -5.48962e-02
9.30388e-04 3.40233e+00 -3.84529e-02
9.30388e-04 3.50372e+00 -2.58120e-02
9.30388e-04 3.60486e+00 -1.66615e-02
9.30388e-04 3.70566e+00 -1.03383e-02
9.30388e-04 3.80601e+00 -6.16003e-03
9.30388e-04 3.90582e+00 -3.52138e-03
9.30388e-04 4.00498e+00 -1.92977e-03
9.30388e-04 4.10341e+00 -1.01324e-03
9.30388e-04 4.20101e+00 -5.09539e-04
9.30388e-04 4.29767e+00 -2.45387e-04
9.30388e-04 4.39331e+00 -1.13186e-04
9.30388e-04 4.48784e+00 -5.00233e-05
9.30388e-04 4.58115e+00 -2.11976e-05
9.30388e-04 4.67317e+00 -8.62096e-06
9.30388e-04 4.76379e+00 -3.36925e-06
9.30388e-04 4.85294e+00 -1.26737e-06
9.30388e-04 4.94051e+00 -4.59714e-07
9.30388e-04 5.02644e+00 -1.61154e-07
9.30388e-04 5.11063e+00 -5.47334e-08
9.30388e-04 5.19300e+00 -1.80611e-08
9.30388e-04 5.27348e+00 -5.80853e-09
9.30388e-04 5.35198e+00 -1.82680e-09
9.30388e-04 5.42842e+00 -5.63908e-10
9.30388e-04 5.50273e+00 -1.71521e-10
9.30388e-04 5.57485e+00 -5.16200e-11
9.30388e-04 5.64469e+00 -1.54384e-11
9.30388e-04 5.71219e+00 -4.60938e-12
9.30388e-04 5.77729e+00 -1.38032e-12
9.30388e-04 5.83992e+00 -4.16592e-13
9.30388e-04 5.90002e+00 -1.27344e-13
9.30388e-04 5.95752e+00 -3.96241e-14
9.30388e-04 6.01238e+00 -1.26137e-14
