# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 4.943806308913196480e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 4.590237533733531813e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 4.261955121119622575e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 3.957150653086928711e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 3.674145045223436296e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 3.411379297073067508e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 3.167405904028764482e-03 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 2.940880883425667138e-03 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 2.730556370908371593e-03 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 2.535273746287639973e-03 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 2.353957251018807140e-03 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 2.185608062142318109e-03 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 2.029298790041337598e-03 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 1.884168369706116499e-03 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 1.749417317362462121e-03 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 1.624303326334379993e-03 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 1.508137177879719090e-03 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 1.400278944472700812e-03 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 1.300134464618286434e-03 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 1.207152069779073760e-03 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 1.120819545384280167e-03 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 1.040661309179822819e-03 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 9.662357913758173834e-04 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 8.971330021594252444e-04 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 8.329722731731601651e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 7.734001605170728747e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 7.180884977230082887e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 6.667325879753337441e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 6.190495256195537293e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 5.747766377124678347e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 5.336700370288025280e-04 8.343346788662415747e-01
2.458418361638500826e+01 2.689661901605829630e+00 4.955032785532177122e-04 8.343346788662415747e-01
