# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 4.716863235284652831e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 4.379524866307125952e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 4.066312101466932824e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 3.775499537345672167e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 3.505485167101432976e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 3.254781555451443948e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 3.022007644798114807e-03 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 2.805881147360609913e-03 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 2.605211481402339938e-03 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 2.418893212641945369e-03 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 2.245899964718316502e-03 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 2.085278765164067395e-03 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 1.936144795740961074e-03 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 1.797676518218353217e-03 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 1.669111148743870768e-03 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 1.549740455875883672e-03 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 1.438906859130289692e-03 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 1.335999806549551579e-03 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 1.240452411339031374e-03 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 1.151738329042749451e-03 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 1.069368858055801119e-03 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 9.928902475009337720e-04 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 9.218811976391261395e-04 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 8.559505390445990665e-04 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 7.947350777594855637e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 7.378975945577002189e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 6.851249872964868155e-04 8.343346788662415747e-01
