# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 2.024446691986007182e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 1.879663281678945960e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 1.745234422066217501e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 1.620419581343424033e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 1.504531188705589490e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 1.396930846707728673e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 1.297025814508010778e-03 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 1.204265742620644602e-03 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 1.118139641191154840e-03 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 1.038173065093093116e-03 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 9.639255003396555825e-04 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 8.949879374126692728e-04 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 8.309806181410665880e-04 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 7.715509437170365616e-04 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 7.163715323256719756e-04 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 6.651384156881296568e-04 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 6.175693645835583258e-04 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 5.734023341255439473e-04 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 5.323940202285343953e-04 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 4.943185193122047764e-04 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 4.589660838604480418e-04 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 4.261419669796999779e-04 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 3.956653495915914750e-04 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 3.673683443501210327e-04 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 3.410950707962044290e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 3.167007966548808441e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 2.940511405448085190e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 2.730213317080082565e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 2.534955226818973954e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 2.353661511273167251e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 2.185333472970368081e-04 8.343346788662415747e-01
2.458418361638500826e+01 2.689661901605829630e+00 2.029043838806459743e-04 8.343346788662415747e-01
2.583092644112147340e+01 2.623950243401548921e+00 1.883931651951723440e-04 8.343346788662415747e-01
2.714089559443110389e+01 2.559843999625518673e+00 1.749197529075213460e-04 8.343346788662415747e-01
2.851729748628510919e+01 2.497303948082518321e+00 1.624099256760743360e-04 8.343346788662415747e-01
2.996350113399157777e+01 2.436291824822481189e+00 1.507947702856251811e-04 8.343346788662415747e-01
3.148304640853506697e+01 2.376770300729420526e+00 1.400103020233344658e-04 8.343346788662415747e-01
3.307965269911476724e+01 2.318702958682312687e+00 1.299971122044541925e-04 8.343346788662415747e-01
3.475722801708908349e+01 2.262054271273973516e+00 1.207000409061398914e-04 8.343346788662415747e-01
3.651987856161048285e+01 2.206789579074279750e+00 1.120678731065279229e-04 8.343346788662415747e-01
3.837191877036446641e+01 2.152875069424452281e+00 1.040530565551941907e-04 8.343346788662415747e-01
4.031788188001345929e+01 2.100277755749423658e+00 9.661143982081868160e-05 8.343346788662415747e-01
4.236253102219521338e+01 2.048965457375615085e+00 8.970202907302980721e-05 8.343346788662415747e-01
4.451087088223422228e+01 1.998906779841811421e+00 8.328676225861179612e-05 8.343346788662415747e-01
4.676815994910450058e+01 1.950071095691039869e+00 7.733029942806640038e-05 8.343346788662415747e-01
4.913992338662669113e+01 1.902428525731747699e+00 7.179982805750239000e-05 8.343346788662415747e-01
5.163196655740519958e+01 1.855949920756779337e+00 6.666488229341918919e-05 8.343346788662415747e-01
5.425038923260748192e+01 1.810606843708983948e+00 6.189717512465627946e-05 8.343346788662415747e-01
5.700160052236680031e+01 1.766371552282539836e+00 5.747044255698881455e-05 8.343346788662415747e-01
5.989233456335367833e+01 1.723216981949347693e+00 5.336029893196992063e-05 8.343346788662415747e-01
6.292966700191433915e+01 1.681116729400109699e+00 4.954410259301083365e-05 8.343346788662415747e-01
6.612103231312204343e+01 1.640045036389964350e+00 4.600083115869018599e-05 8.343346788662415747e-01
6.947424199813316648e+01 1.599976773978788236e+00 4.271096571620686111e-05 8.343346788662415747e-01
7.299750370438927405e+01 1.560887427156530505e+00 3.965638329703039428e-05 8.343346788662415747e-01
7.669944131546641586e+01 1.522753079844166413e+00 3.682025704242623999e-05 8.343346788662415747e-01
8.058911605974476799e+01 1.485550400261095083e+00 3.418696350889522827e-05 8.343346788662415747e-01
8.467604868956688335e+01 1.449256626650029078e+00 3.174199660289820865e-05 8.343346788662415747e-01
8.897024278517207563e+01 1.413849553350645660e+00 2.947188767075621175e-05 8.343346788662415747e-01
9.348220924044809976e+01 1.379307517213469891e+00 2.736413130352251602e-05 8.343346788662415747e-01
9.822299199043395390e+01 1.345609384345686887e+00 2.540711644810662935e-05 8.343346788662415747e-01
1.032041950435467470e+02 1.312734537180767713e+00 2.359006244515986870e-05 8.343346788662415747e-01
1.084380108846995370e+02 1.280662861864001911e+00 2.190295964137295941e-05 8.343346788662415747e-01
1.139372503188326533e+02 1.249374735946212622e+00 2.033651424903471262e-05 8.343346788662415747e-01
1.197153738279060207e+02 1.218851016378133423e+00 1.888209714909866468e-05 8.343346788662415747e-01
1.257865245181047698e+02 1.189073027798095650e+00 1.753169635572739612e-05 8.343346788662415747e-01
1.321655627379041107e+02 1.160022551105858835e+00 1.627787288045477572e-05 8.343346788662415747e-01
1.388681024517271965e+02 1.131681812315598279e+00 1.511371975283399912e-05 8.343346788662415747e-01
1.459105494582274503e+02 1.104033471681228340e+00 1.403282397182736014e-05 8.343346788662415747e-01
1.533101415467424999e+02 1.077060613087406526e+00 1.302923117833833030e-05 8.343346788662415747e-01
1.610849906902112423e+02 1.050746733699727598e+00 1.209741285427653745e-05 8.343346788662415747e-01
1.692541273778299740e+02 1.025075733867771177e+00 1.123223586746419818e-05 8.343346788662415747e-01
1.778375471959567165e+02 1.000031907274842702e+00 1.042893419461579672e-05 8.343346788662415747e-01
1.868562597712858349e+02 9.755999313283544305e-01 9.683082666619711432e-06 8.343346788662415747e-01
1.963323401960870171e+02 9.517648577849870950e-01 8.990572591492448166e-06 8.343346788662415747e-01
2.062889830613825666e+02 9.285121036048894494e-01 8.347589120718757269e-06 8.343346788662415747e-01
2.167505592303204480e+02 9.058274420293226381e-01 7.750590234295053659e-06 8.343346788662415747e-01
2.277426754907079953e+02 8.836969938762848642e-01 7.196287228710361505e-06 8.343346788662415747e-01
2.392922372327170137e+02 8.621072190487948372e-01 6.681626600378528480e-06 8.343346788662415747e-01
2.514275143051757482e+02 8.410449082506397112e-01 6.203773224722501389e-06 8.343346788662415747e-01
2.641782102116439432e+02 8.204971749045189000e-01 5.760094738248846732e-06 8.343346788662415747e-01
2.775755348156455966e+02 8.004514472676312886e-01 5.348147037577467188e-06 8.343346788662415747e-01
2.916522807330147202e+02 7.808954607398934655e-01 4.965660815544890791e-06 8.343346788662415747e-01
3.064429035983424683e+02 7.618172503600761925e-01 4.610529060212056509e-06 8.343346788662415747e-01
3.219836064019941659e+02 7.432051434852684491e-01 4.280795447912070524e-06 8.343346788662415747e-01
3.383124281041274344e+02 7.250477526491898583e-01 3.974643566398398439e-06 8.343346788662415747e-01
3.554693367426101531e+02 7.073339685949855404e-01 3.690386908726841732e-06 8.343346788662415747e-01
3.734963272627393849e+02 6.900529534782372520e-01 3.426459582750255897e-06 8.343346788662415747e-01
3.924375243082203610e+02 6.731941342360332481e-01 3.181407685047184789e-06 8.343346788662415747e-01
4.123392902250082557e+02 6.567471961180360029e-01 2.953881291765690893e-06 8.343346788662415747e-01
4.332503385423638065e+02 6.407020763756017256e-01 2.742627022262295808e-06 8.343346788662415747e-01
4.552218532089046903e+02 6.250489581050747701e-01 2.546481134570937112e-06 8.343346788662415747e-01
4.783076138754976228e+02 6.097782642415001675e-01 2.364363114666899530e-06 8.343346788662415747e-01
5.025641275316463066e+02 5.948806516990780002e-01 2.195269724210723845e-06 8.343346788662415747e-01
5.280507668175828258e+02 5.803470056547733735e-01 2.038269473982712532e-06 8.343346788662415747e-01
5.548299153506109178e+02 5.661684339715831182e-01 1.892497492563687185e-06 8.343346788662415747e-01
5.829671204214145064e+02 5.523362617580489520e-01 1.757150761994985134e-06 8.343346788662415747e-01
6.125312534340839647e+02 5.388420260606899825e-01 1.631483694172265009e-06 8.343346788662415747e-01
6.435946784825692930e+02 5.256774706861047086e-01 1.514804023604652319e-06 8.343346788662415747e-01
6.762334294761938054e+02 5.128345411495732753e-01 1.406468993913558353e-06 8.343346788662415747e-01
7.105273962477594978e+02 5.003053797470750075e-01 1.305881817063682125e-06 8.343346788662415747e-01
7.465605200998037390e+02 4.880823207476984726e-01 1.212488385821003563e-06 8.343346788662415747e-01
7.844209992676217098e+02 4.761578857035108081e-01 1.125774221327666292e-06 8.343346788662415747e-01
8.242015048019893584e+02 4.645247788740088368e-01 1.045261638978711144e-06 8.343346788662415747e-01
