# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     1.20887380942852E-10   1.20887380942852E-10
    1      1      0     7.61403811586305E-01   7.61403811586305E-01
    2      1      1     1.17898155535427E-04   2.35796311070855E-04
    3      1      2     4.02575214149167E-07   1.20772564244750E-06
    3      2      1     1.66236335492800E-05   4.98709006478399E-05
    4      2      2     5.95773281544196E-02   2.38309312617678E-01
    6      3      3     4.23994294791354E-14   2.54396576874813E-13
    7      3      4     9.55716050071317E-11   6.69001235049922E-10
    7      4      3     9.78680622188250E-12   6.85076435531775E-11
    9      4      5     1.22153304541567E-16   1.09937974087411E-15
   10      5      5     1.52005270770778E-19   1.52005270770778E-18
   11      5      6     1.35766210126095E-18   1.49342831138704E-17
   12      6      6     3.60925524866161E-16   4.33110629839393E-15
   13      6      7     2.89557407807699E-18   3.76424630150008E-17
   14      6      8     1.00157039714195E-19   1.40219855599873E-18
