# time[s]                    Y(     n )                  Y(     p )                  Y(     d )                  Y(     t )                  Y(   he3 )                  Y(   he4 )                  Y(   li6 )                  Y(   li7 )                  Y(   be7 )
 2.0640000000000001E+00      1.6566532113375843E-01      8.3433467886624157E-01      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000000020002E+00      1.6566532113347876E-01      8.3433467886596269E-01      2.7925923155187738E-13      3.0216718520355523E-24      6.5818675277149398E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000000060001E+00      1.6566532113347762E-01      8.3433467886596302E-01      2.7966084035302047E-13      3.9990743754803704E-24      7.9513484954793597E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000000140000E+00      1.6566532113347612E-01      8.3433467886596446E-01      2.7966112923875345E-13      4.1700979547428771E-24      8.1004389299852735E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000000300001E+00      1.6566532113347313E-01      8.3433467886596746E-01      2.7966112934401824E-13      4.1857446958192302E-24      8.1087810108574791E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000000620002E+00      1.6566532113346710E-01      8.3433467886597346E-01      2.7966112934673247E-13      4.1864772004823551E-24      8.1090177055020806E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000001260002E+00      1.6566532113345508E-01      8.3433467886598545E-01      2.7966112935212041E-13      4.1864945501599410E-24      8.1090210882412831E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000002540000E+00      1.6566532113343102E-01      8.3433467886600954E-01      2.7966112936289688E-13      4.1864947577990177E-24      8.1090211141146807E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000005100001E+00      1.6566532113338292E-01      8.3433467886605761E-01      2.7966112938445244E-13      4.1864947609527243E-24      8.1090211174537533E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000010220003E+00      1.6566532113328669E-01      8.3433467886615398E-01      2.7966112942756206E-13      4.1864947647942582E-24      8.1090211239577885E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000020460003E+00      1.6566532113309423E-01      8.3433467886634627E-01      2.7966112951378373E-13      4.1864947724700093E-24      8.1090211369655680E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000040940003E+00      1.6566532113270935E-01      8.3433467886673129E-01      2.7966112968622413E-13      4.1864947878214880E-24      8.1090211629811946E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000081900003E+00      1.6566532113193955E-01      8.3433467886750112E-01      2.7966113003110190E-13      4.1864948185243381E-24      8.1090212150122862E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000163820003E+00      1.6566532113039995E-01      8.3433467886904067E-01      2.7966113072086385E-13      4.1864948799301610E-24      8.1090213190746178E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000327660002E+00      1.6566532112732077E-01      8.3433467887211976E-01      2.7966113210038594E-13      4.1864950027417781E-24      8.1090215271992545E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640000655340001E+00      1.6566532112116242E-01      8.3433467887827817E-01      2.7966113485942804E-13      4.1864952483648345E-24      8.1090219434483898E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640001310700002E+00      1.6566532110884569E-01      8.3433467889059487E-01      2.7966114037751264E-13      4.1864957396108392E-24      8.1090227759468060E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640002621420002E+00      1.6566532108421222E-01      8.3433467891522839E-01      2.7966115141368241E-13      4.1864967221019268E-24      8.1090244409439321E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640005242860000E+00      1.6566532103494527E-01      8.3433467896449531E-01      2.7966117348602978E-13      4.1864986870810860E-24      8.1090277709393996E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640010485740001E+00      1.6566532093641137E-01      8.3433467906302927E-01      2.7966121763073536E-13      4.1865026170293003E-24      8.1090344309348939E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640020971499999E+00      1.6566532073934354E-01      8.3433467926009708E-01      2.7966130592020160E-13      4.1865104768985832E-24      8.1090477509446626E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640041943020000E+00      1.6566532034520789E-01      8.3433467965423280E-01      2.7966148249936487E-13      4.1865261965910599E-24      8.1090743910414270E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640083886060001E+00      1.6566531955693661E-01      8.3433468044250414E-01      2.7966183565859321E-13      4.1865576360028256E-24      8.1091276715494315E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640167772139999E+00      1.6566531798039408E-01      8.3433468201904681E-01      2.7966254198066758E-13      4.1866205154199318E-24      8.1092342338379115E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640335544299999E+00      1.6566531482730903E-01      8.3433468517213183E-01      2.7966395463929593E-13      4.1867462773690279E-24      8.1094473635268761E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0640671088620000E+00      1.6566530852113917E-01      8.3433469147830164E-01      2.7966678001445507E-13      4.1869978145031042E-24      8.1098736433760159E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0641342177260000E+00      1.6566529590880044E-01      8.3433470409064048E-01      2.7967243099640881E-13      4.1875009423293626E-24      8.1107262849846815E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0642684354540002E+00      1.6566527068412679E-01      8.3433472931531405E-01      2.7968373388689953E-13      4.1885074126466912E-24      8.1124318959096486E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0645368709100000E+00      1.6566522023479482E-01      8.3433477976464598E-01      2.7970634337471151E-13      4.1905212124868339E-24      8.1158444290435570E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0650737418220002E+00      1.6566511933619235E-01      8.3433488066324835E-01      2.7975157718150807E-13      4.1945522516764092E-24      8.1226747440179236E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0661474836460001E+00      1.6566491753923329E-01      8.3433508246020716E-01      2.7984210415061505E-13      4.2026281087146252E-24      8.1363563973680021E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0682949672940003E+00      1.6566451394629858E-01      8.3433548605314178E-01      2.8002339575778812E-13      4.2188351023684452E-24      8.1638040268182847E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
 2.0725899345900003E+00      1.6566370676436193E-01      8.3433629323507774E-01      2.8038693162734893E-13      4.2514715342568702E-24      8.2190384187730151E-24      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00      0.0000000000000000E+00
