# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     1.91314808131780E-11   1.91314808131780E-11
    1      1      0     7.52092874731806E-01   7.52092874731806E-01
    2      1      1     3.11887331959383E-05   6.23774663918766E-05
    3      1      2     1.04520860778933E-07   3.13562582336800E-07
    3      2      1     9.34121786206661E-06   2.80236535861998E-05
    4      2      2     6.19541022896921E-02   2.47816409158769E-01
    6      3      3     1.19521179977729E-14   7.17127079866373E-14
    7      3      4     3.07821241968286E-11   2.15474869377801E-10
    7      4      3     1.70310403853910E-10   1.19217282697737E-09
    9      4      5     9.37330603225346E-18   8.43597542902811E-17
   10      5      5     1.16724144231728E-20   1.16724144231728E-19
   11      5      6     1.02691593909799E-16   1.12960753300779E-15
   12      6      6     5.62111400603839E-16   6.74533680724607E-15
   13      6      7     9.26784394220735E-18   1.20481971248695E-16
   14      6      8     6.56032651655216E-19   9.18445712317302E-18
