# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     3.55768689933975E-12   3.55768689933975E-12
    1      1      0     7.45791034347801E-01   7.45791034347801E-01
    2      1      1     9.74667887985512E-06   1.94933577597102E-05
    3      1      2     3.09145464233944E-08   9.27436392701832E-08
    3      2      1     6.16660483926660E-06   1.84998145177998E-05
    4      2      2     6.35427184906520E-02   2.54170873962608E-01
    6      3      3     3.94409871391681E-15   2.36645922835008E-14
    7      3      4     1.31012506060936E-11   9.17087542426551E-11
    7      4      3     8.11190473961062E-10   5.67833331772743E-09
    9      4      5     1.13489316987701E-18   1.02140385288931E-17
   11      5      6     1.08424106713187E-15   1.19266517384506E-14
   12      6      6     8.81242086935571E-16   1.05749050432269E-14
   13      6      7     2.84945391746525E-17   3.70429009270483E-16
   14      6      8     4.00056994216948E-18   5.60079791903727E-17
