# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 1.527064445951151509e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 1.417852581238342223e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 1.316451278434476813e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 1.222301945508425533e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 1.134885939546788867e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 1.053721709692000781e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 9.783621444104228376e-04 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 9.083921084772421080e-04 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 8.434261561101122351e-04 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 7.831064076538059955e-04 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 7.271005781191184963e-04 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 6.751001467157863138e-04 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 6.268186572958693321e-04 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 5.819901403452160289e-04 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 5.403676478301860193e-04 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 5.017218928285027560e-04 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 4.658399864503395544e-04 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 4.325242650916753307e-04 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 4.015912015595877300e-04 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 3.728703940711633686e-04 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 3.462036275567039281e-04 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 3.214440020961971791e-04 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 2.984551236878548136e-04 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 2.771103528908761969e-04 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 2.572921072034210018e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 2.388912133327819414e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 2.218063057895850972e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 2.059432684930470668e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 1.912147163112383409e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 1.775395136803015509e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 1.648423276508318726e-04 8.343346788662415747e-01
2.458418361638500826e+01 2.689661901605829630e+00 1.530532128992705869e-04 8.343346788662415747e-01
2.583092644112147340e+01 2.623950243401548921e+00 1.421072264182583419e-04 8.343346788662415747e-01
2.714089559443110389e+01 2.559843999625518673e+00 1.319440697633754921e-04 8.343346788662415747e-01
2.851729748628510919e+01 2.497303948082518321e+00 1.225077568855127046e-04 8.343346788662415747e-01
2.996350113399157777e+01 2.436291824822481189e+00 1.137463057190448519e-04 8.343346788662415747e-01
3.148304640853506697e+01 2.376770300729420526e+00 1.056114518268552429e-04 8.343346788662415747e-01
3.307965269911476724e+01 2.318702958682312687e+00 9.805838252475785656e-05 8.343346788662415747e-01
3.475722801708908349e+01 2.262054271273973516e+00 9.104549002068256620e-05 8.343346788662415747e-01
3.651987856161048285e+01 2.206789579074279750e+00 8.453414220873290872e-05 8.343346788662415747e-01
3.837191877036446641e+01 2.152875069424452281e+00 7.848846985548570685e-05 8.343346788662415747e-01
4.031788188001345929e+01 2.100277755749423658e+00 7.287516900619937148e-05 8.343346788662415747e-01
4.236253102219521338e+01 2.048965457375615085e+00 6.766331752243894394e-05 8.343346788662415747e-01
4.451087088223422228e+01 1.998906779841811421e+00 6.282420474047799644e-05 8.343346788662415747e-01
4.676815994910450058e+01 1.950071095691039869e+00 5.833117331210670539e-05 8.343346788662415747e-01
4.913992338662669113e+01 1.902428525731747699e+00 5.415947235659573320e-05 8.343346788662415747e-01
5.163196655740519958e+01 1.855949920756779337e+00 5.028612111486636531e-05 8.343346788662415747e-01
5.425038923260748192e+01 1.810606843708983948e+00 4.668978235477685534e-05 8.343346788662415747e-01
5.700160052236680031e+01 1.766371552282539836e+00 4.335064483014907847e-05 8.343346788662415747e-01
5.989233456335367833e+01 1.723216981949347693e+00 4.025031414603417367e-05 8.343346788662415747e-01
6.292966700191433915e+01 1.681116729400109699e+00 3.737171142902390565e-05 8.343346788662415747e-01
6.612103231312204343e+01 1.640045036389964350e+00 3.469897924441037797e-05 8.343346788662415747e-01
6.947424199813316648e+01 1.599976773978788236e+00 3.221739424191707985e-05 8.343346788662415747e-01
7.299750370438927405e+01 1.560887427156530505e+00 2.991328604879105144e-05 8.343346788662415747e-01
7.669944131546641586e+01 1.522753079844166413e+00 2.777396196345991830e-05 8.343346788662415747e-01
8.058911605974476799e+01 1.485550400261095083e+00 2.578763703491194500e-05 8.343346788662415747e-01
8.467604868956688335e+01 1.449256626650029078e+00 2.394336914262552561e-05 8.343346788662415747e-01
8.897024278517207563e+01 1.413849553350645660e+00 2.223099871942144925e-05 8.343346788662415747e-01
9.348220924044809976e+01 1.379307517213469891e+00 2.064109278518705623e-05 8.343346788662415747e-01
9.822299199043395390e+01 1.345609384345686887e+00 1.916489298316999840e-05 8.343346788662415747e-01
1.032041950435467470e+02 1.312734537180767713e+00 1.779426733258734759e-05 8.343346788662415747e-01
1.084380108846995370e+02 1.280662861864001911e+00 1.652166543176866059e-05 8.343346788662415747e-01
1.139372503188326533e+02 1.249374735946212622e+00 1.534007686505906205e-05 8.343346788662415747e-01
1.197153738279060207e+02 1.218851016378133423e+00 1.424299258435769697e-05 8.343346788662415747e-01
1.257865245181047698e+02 1.189073027798095650e+00 1.322436905255281768e-05 8.343346788662415747e-01
1.321655627379041107e+02 1.160022551105858835e+00 1.227859495132942854e-05 8.343346788662415747e-01
1.388681024517271965e+02 1.131681812315598279e+00 1.140046026995209820e-05 8.343346788662415747e-01
1.459105494582274503e+02 1.104033471681228340e+00 1.058512760474144633e-05 8.343346788662415747e-01
1.533101415467424999e+02 1.077060613087406526e+00 9.828105511140926119e-06 8.343346788662415747e-01
1.610849906902112423e+02 1.050746733699727598e+00 9.125223761577727722e-06 8.343346788662415747e-01
1.692541273778299740e+02 1.025075733867771177e+00 8.472610372820043860e-06 8.343346788662415747e-01
1.778375471959567165e+02 1.000031907274842702e+00 7.866670276281134219e-06 8.343346788662415747e-01
1.868562597712858349e+02 9.755999313283544305e-01 7.304065513770038313e-06 8.343346788662415747e-01
1.963323401960870171e+02 9.517648577849870950e-01 6.781696849593271739e-06 8.343346788662415747e-01
2.062889830613825666e+02 9.285121036048894494e-01 6.296686697713430991e-06 8.343346788662415747e-01
2.167505592303204480e+02 9.058274420293226381e-01 5.846363269915130269e-06 8.343346788662415747e-01
2.277426754907079953e+02 8.836969938762848642e-01 5.428245857654765552e-06 8.343346788662415747e-01
2.392922372327170137e+02 8.621072190487948372e-01 5.040031166515912311e-06 8.343346788662415747e-01
2.514275143051757482e+02 8.410449082506397112e-01 4.679580627990641643e-06 8.343346788662415747e-01
2.641782102116439432e+02 8.204971749045189000e-01 4.344908618690818290e-06 8.343346788662415747e-01
2.775755348156455966e+02 8.004514472676312886e-01 4.034171522092109844e-06 8.343346788662415747e-01
2.916522807330147202e+02 7.808954607398934655e-01 3.745657572555046951e-06 8.343346788662415747e-01
3.064429035983424683e+02 7.618172503600761925e-01 3.477777425676502908e-06 8.343346788662415747e-01
3.219836064019941659e+02 7.432051434852684491e-01 3.229055403026261235e-06 8.343346788662415747e-01
3.383124281041274344e+02 7.250477526491898583e-01 2.998121363038307307e-06 8.343346788662415747e-01
3.554693367426101531e+02 7.073339685949855404e-01 2.783703153275862988e-06 8.343346788662415747e-01
3.734963272627393849e+02 6.900529534782372520e-01 2.584619602491711047e-06 8.343346788662415747e-01
3.924375243082203610e+02 6.731941342360332481e-01 2.399774013878995683e-06 8.343346788662415747e-01
4.123392902250082557e+02 6.567471961180360029e-01 2.228148123668560641e-06 8.343346788662415747e-01
4.332503385423638065e+02 6.407020763756017256e-01 2.068796491792522644e-06 8.343346788662415747e-01
4.552218532089046903e+02 6.250489581050747701e-01 1.920841293713604154e-06 8.343346788662415747e-01
4.783076138754976228e+02 6.097782642415001675e-01 1.783467484729947954e-06 8.343346788662415747e-01
5.025641275316463066e+02 5.948806516990780002e-01 1.655918310116884860e-06 8.343346788662415747e-01
5.280507668175828258e+02 5.803470056547733735e-01 1.537491136372224106e-06 8.343346788662415747e-01
5.548299153506109178e+02 5.661684339715831182e-01 1.427533580600543542e-06 8.343346788662415747e-01
5.829671204214145064e+02 5.523362617580489520e-01 1.325439916714321098e-06 8.343346788662415747e-01
6.125312534340839647e+02 5.388420260606899825e-01 1.230647738654670361e-06 8.343346788662415747e-01
6.435946784825692930e+02 5.256774706861047086e-01 1.142634862250253889e-06 8.343346788662415747e-01
6.762334294761938054e+02 5.128345411495732753e-01 1.060916448647553121e-06 8.343346788662415747e-01
7.105273962477594978e+02 5.003053797470750075e-01 9.850423334663033146e-07 8.343346788662415747e-01
7.465605200998037390e+02 4.880823207476984726e-01 9.145945469670854804e-07 8.343346788662415747e-01
7.844209992676217098e+02 4.761578857035108081e-01 8.491850115704130604e-07 8.343346788662415747e-01
8.242015048019893584e+02 4.645247788740088368e-01 7.884534040435236324e-07 8.343346788662415747e-01
8.659994073999849888e+02 4.531758827623584285e-01 7.320651705782865643e-07 8.343346788662415747e-01
9.099170157391275779e+02 4.421042537606894585e-01 6.797096838258225056e-07 8.343346788662415747e-01
9.560618268982143491e+02 4.313031179017783878e-01 6.310985317354230667e-07 8.343346788662415747e-01
1.004546789477787684e+03 4.207658667145264819e-01 5.859639287714917916e-07 8.343346788662415747e-01
1.055490580064301184e+03 4.104860531806894253e-01 5.440572407562919054e-07 8.343346788662415747e-01
1.109017893714653610e+03 4.004573877903928047e-01 5.051476152123016856e-07 8.343346788662415747e-01
1.165259749172143756e+03 3.906737346940125644e-01 4.690207096590771086e-07 8.343346788662415747e-01
1.224353809560886020e+03 3.811291079480725874e-01 4.354775108591811992e-07 8.343346788662415747e-01
1.286444719343687666e+03 3.718176678528570811e-01 4.043332385087104797e-07 8.343346788662415747e-01
1.351684458368128617e+03 3.627337173795008862e-01 3.754163273331630190e-07 8.343346788662415747e-01
1.420232713867452958e+03 3.538716986843708501e-01 3.485674819812883823e-07 8.343346788662415747e-01
1.492257271326833461e+03 3.452261897086021936e-01 3.236387995105792738e-07 8.343346788662415747e-01
1.567934425171697285e+03 3.367919008607162534e-01 3.004929546304375515e-07 8.343346788662415747e-01
1.647449410283397128e+03 3.285636717802817297e-01 2.790024432147183702e-07 8.343346788662415747e-01
1.730996855398402886e+03 3.205364681806474603e-01 2.590488799163927069e-07 8.343346788662415747e-01
1.818781259500845408e+03 3.127053787688076070e-01 2.405223460150597950e-07 8.343346788662415747e-01
1.911017492374429366e+03 3.050656122405209780e-01 2.233207839047962784e-07 8.343346788662415747e-01
2.007931320538963519e+03 2.976124943488408503e-01 2.073494348867279540e-07 8.343346788662415747e-01
2.109759959858804905e+03 2.903414650442658895e-01 1.925203171692879432e-07 8.343346788662415747e-01
2.216752656175846369e+03 2.832480756847600700e-01 1.787517412006010113e-07 8.343346788662415747e-01
2.329171295388287490e+03 2.763279863139342929e-01 1.659678596630933493e-07 8.343346788662415747e-01
2.447291044468427572e+03 2.695769630057268662e-01 1.540982496513755208e-07 8.343346788662415747e-01
2.571401024988559584e+03 2.629908752739548716e-01 1.430775247317245253e-07 8.343346788662415747e-01
2.701805020803486968e+03 2.565656935451550713e-01 1.328449747461135321e-07 8.343346788662415747e-01
2.838822221621933295e+03 2.502974866931644282e-01 1.233442313765613479e-07 8.343346788662415747e-01
2.982788004286796877e+03 2.441824196339358877e-01 1.145229576274943707e-07 8.343346788662415747e-01
3.134054753676679411e+03 2.382167509791136839e-01 1.063325595155573021e-07 8.343346788662415747e-01
3.292992725237935247e+03 2.323968307469357064e-01 9.872791837865577177e-08 8.343346788662415747e-01
3.459990951258485893e+03 2.267190981290615748e-01 9.166714232959315427e-08 8.343346788662415747e-01
3.635458193101720099e+03 2.211800793119584885e-01 8.511133548512571731e-08 8.343346788662415747e-01
3.819823941731182003e+03 2.157763853515146935e-01 7.902438369918558937e-08 8.343346788662415747e-01
4.013539468975128784e+03 2.105047100995773579e-01 7.337275561993114796e-08 8.343346788662415747e-01
4.217078932104030173e+03 2.053618281811488422e-01 6.812531797470538433e-08 8.343346788662415747e-01
4.430940534424800717e+03 2.003445930210012715e-01 6.325316406535512000e-08 8.343346788662415747e-01
4.655647744732417777e+03 1.954499349185045143e-01 5.872945452914106703e-08 8.343346788662415747e-01
4.891750578603911890e+03 1.906748591694872597e-01 5.452926948803199653e-08 8.343346788662415747e-01
5.139826944670843659e+03 1.860164442339838908e-01 5.062947127191542086e-08 8.343346788662415747e-01
5.400484059165573854e+03 1.814718399487459111e-01 4.700857695950451459e-08 8.343346788662415747e-01
5.674359932203758945e+03 1.770382657834225215e-01 4.364664003480227901e-08 8.343346788662415747e-01
5.962124929440929918e+03 1.727130091393464517e-01 4.052514050720346005e-08 8.343346788662415747e-01
6.264483412925771518e+03 1.684934236898809057e-01 3.762688288993331196e-08 8.343346788662415747e-01
6.582175465166237700e+03 1.643769277613152668e-01 3.493590147481658154e-08 8.343346788662415747e-01
6.915978700628701517e+03 1.603610027533160509e-01 3.243737238155930607e-08 8.343346788662415747e-01
7.266710169103916996e+03 1.564431915979696275e-01 3.011753189704897040e-08 8.343346788662415747e-01
7.635228355598897906e+03 1.526210972564708279e-01 2.796360065482463090e-08 8.343346788662415747e-01
8.022435281649643912e+03 1.488923812525403401e-01 2.596371323704405089e-08 8.343346788662415747e-01
8.429278713198178593e+03 1.452547622416724693e-01 2.410685281114365624e-08 8.343346788662415747e-01
8.856754480438206883e+03 1.417060146153368561e-01 2.238279044112206523e-08 8.343346788662415747e-01
9.305908915307440111e+03 1.382439671392825808e-01 2.078202873913090513e-08 8.343346788662415747e-01
