# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 1.326272839759881942e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 1.231421093108213101e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 1.143352908309851201e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 1.061583141832472908e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 9.856613464068754958e-04 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 9.151692896362229566e-04 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 8.497186500682149275e-04 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 7.889488780384567570e-04 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 7.325252095010159658e-04 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 6.801368219048933416e-04 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 6.314951219576379286e-04 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 5.863321558438669553e-04 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 5.443991331410133949e-04 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 5.054650563009657066e-04 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 4.693154481477817305e-04 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 4.357511703816116066e-04 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 4.045873265802956645e-04 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 3.756522436555649364e-04 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 3.487865261529736385e-04 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 3.238421781859541311e-04 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 3.006817881669743568e-04 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 2.791777718447007025e-04 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 2.592116694772685125e-04 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 2.406734932699768710e-04 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 2.234611214826233254e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 2.074797358687817590e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 1.926412993480250337e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 1.788640710337398580e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 1.660721559449486776e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 1.541950869216256691e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 1.431674364403944921e-04 8.343346788662415747e-01
2.458418361638500826e+01 2.689661901605829630e+00 1.329284561922036538e-04 8.343346788662415747e-01
2.583092644112147340e+01 2.623950243401548921e+00 1.234217424365159892e-04 8.343346788662415747e-01
2.714089559443110389e+01 2.559843999625518673e+00 1.145949252885334772e-04 8.343346788662415747e-01
2.851729748628510919e+01 2.497303948082518321e+00 1.063993802278333044e-04 8.343346788662415747e-01
2.996350113399157777e+01 2.436291824822481189e+00 9.878996023918890925e-05 8.343346788662415747e-01
3.148304640853506697e+01 2.376770300729420526e+00 9.172474711001678770e-05 8.343346788662415747e-01
3.307965269911476724e+01 2.318702958682312687e+00 8.516482051441301871e-05 8.343346788662415747e-01
3.475722801708908349e+01 2.262054271273973516e+00 7.907404361172803455e-05 8.343346788662415747e-01
3.651987856161048285e+01 2.206789579074279750e+00 7.341886397859876822e-05 8.343346788662415747e-01
3.837191877036446641e+01 2.152875069424452281e+00 6.816812877782948000e-05 8.343346788662415747e-01
4.031788188001345929e+01 2.100277755749423658e+00 6.329291314593617451e-05 8.343346788662415747e-01
4.236253102219521338e+01 2.048965457375615085e+00 5.876636085398738343e-05 8.343346788662415747e-01
4.451087088223422228e+01 1.998906779841811421e+00 5.456353636398874512e-05 8.343346788662415747e-01
4.676815994910450058e+01 1.950071095691039869e+00 5.066128746582599979e-05 8.343346788662415747e-01
4.913992338662669113e+01 1.902428525731747699e+00 4.703811773807533772e-05 8.343346788662415747e-01
5.163196655740519958e+01 1.855949920756779337e+00 4.367406813009945798e-05 8.343346788662415747e-01
5.425038923260748192e+01 1.810606843708983948e+00 4.055060701309888018e-05 8.343346788662415747e-01
5.700160052236680031e+01 1.766371552282539836e+00 3.765052809443972638e-05 8.343346788662415747e-01
5.989233456335367833e+01 1.723216981949347693e+00 3.495785563289562163e-05 8.343346788662415747e-01
6.292966700191433915e+01 1.681116729400109699e+00 3.245775643266066098e-05 8.343346788662415747e-01
6.612103231312204343e+01 1.640045036389964350e+00 3.013645813133250623e-05 8.343346788662415747e-01
6.947424199813316648e+01 1.599976773978788236e+00 2.798117333173630181e-05 8.343346788662415747e-01
7.299750370438927405e+01 1.560887427156530505e+00 2.598002915965267094e-05 8.343346788662415747e-01
7.669944131546641586e+01 1.522753079844166413e+00 2.412200185940237252e-05 8.343346788662415747e-01
