# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     6.76534449051015E-10   6.76534449051015E-10
    1      1      0     7.74582807098915E-01   7.74582807098915E-01
    2      1      1     4.06512800383148E-04   8.13025600766296E-04
    3      1      2     1.35623198188915E-06   4.06869594566745E-06
    3      2      1     2.85538915086562E-05   8.56616745259687E-05
    4      2      2     5.61286082450750E-02   2.24514432980300E-01
    6      3      3     1.36300418767052E-13   8.17802512602311E-13
    7      3      4     4.66935221078379E-10   3.26854654754865E-09
    7      4      3     5.17411204059413E-13   3.62187842841589E-12
    9      4      5     2.21770847499543E-15   1.99593762749588E-14
   10      5      5     8.57963773743492E-19   8.57963773743492E-18
   11      5      6     7.24615556558451E-18   7.97077112214296E-17
   12      6      6     2.35863922019359E-16   2.83036706423231E-15
   13      6      7     1.32439617186114E-18   1.72171502341949E-17
   14      6      8     2.40906989579502E-20   3.37269785411303E-19
