# time[s], T9[GK], density[g/cm^3], Ye 
# 
5.304517024878862230e+00 5.790321299774816133e+00 2.812959557113157115e-03 8.343346788662415747e-01
5.573526101716886672e+00 5.648856822802224897e+00 2.611783660831518746e-03 8.343346788662415747e-01
5.856177491904428045e+00 5.510848492252097053e+00 2.424995366085913422e-03 8.343346788662415747e-01
6.153163040920136773e+00 5.376211870332350706e+00 2.251565707270691309e-03 8.343346788662415747e-01
6.465209679946537946e+00 5.244864582167188871e+00 2.090539307850275419e-03 8.343346788662415747e-01
6.793081205178639337e+00 5.116726265397581130e+00 1.941029117451238987e-03 8.343346788662415747e-01
7.137580147366985095e+00 4.991718521013079446e+00 1.802211525344528040e-03 8.343346788662415747e-01
7.499549736171244874e+00 4.869764865384855312e+00 1.673321823399304652e-03 8.343346788662415747e-01
7.879875964132470045e+00 4.750790683470639486e+00 1.553649993515104867e-03 8.343346788662415747e-01
8.279489755315998067e+00 4.634723183162916094e+00 1.442536796326401426e-03 8.343346788662415747e-01
8.699369243933212204e+00 4.521491350752444127e+00 1.339370139633322366e-03 8.343346788662415747e-01
9.140542168519502297e+00 4.411025907479864117e+00 1.243581706553210367e-03 8.343346788662415747e-01
9.604088387528690873e+00 4.303259267148790812e+00 1.154643824818415510e-03 8.343346788662415747e-01
1.009114252250130583e+01 4.198125494774478383e+00 1.072066559974163384e-03 8.343346788662415747e-01
1.060289673527640275e+01 4.095560266242745051e+00 9.953950164637006756e-04 8.343346788662415747e-01
1.114060364604473108e+01 3.995500828954474226e+00 9.242068317331422192e-04 8.343346788662415747e-01
1.170557939938568026e+01 3.897885963431626966e+00 8.581098495517349703e-04 8.343346788662415747e-01
1.229920688579286114e+01 3.802655945861253883e+00 7.967399597304828870e-04 8.343346788662415747e-01
1.292293912657355115e+01 3.709752511554612830e+00 7.397590923387489413e-04 8.343346788662415747e-01
1.357830283040725305e+01 3.619118819299013801e+00 6.868533553695086325e-04 8.343346788662415747e-01
1.426690213026875220e+01 3.530699416580600491e+00 6.377313055941755040e-04 8.343346788662415747e-01
1.499042250986253677e+01 3.444440205656772669e+00 5.921223430815988767e-04 8.343346788662415747e-01
1.575063492917928976e+01 3.360288410457506814e+00 5.497752205370881173e-04 8.343346788662415747e-01
1.654940015927259367e+01 3.278192544295310817e+00 5.104566592498119195e-04 8.343346788662415747e-01
1.738867333686611971e+01 3.198102378364065412e+00 4.739500640242119852e-04 8.343346788662415747e-01
1.827050874993939544e+01 3.119968911007485080e+00 4.400543300163397209e-04 8.343346788662415747e-01
1.919706486600624729e+01 3.043744337738367722e+00 4.085827349022932617e-04 8.343346788662415747e-01
2.017060961539310426e+01 2.969382021990329523e+00 3.793619102760309187e-04 8.343346788662415747e-01
2.119352594244947596e+01 2.896836466584101544e+00 3.522308866102595820e-04 8.343346788662415747e-01
2.226831763827804522e+01 2.826063285890935806e+00 3.270402065193532266e-04 8.343346788662415747e-01
2.339761546926121838e+01 2.757019178676100246e+00 3.036511014395124400e-04 8.343346788662415747e-01
2.458418361638500826e+01 2.689661901605829630e+00 2.819347271907147773e-04 8.343346788662415747e-01
