# Z,Logeps
31   2.6562042
32   3.2193337
33   2.1457773
34   3.0859278
35   2.1700530
36   2.8600985
37   2.0556267
38   1.8705114
39   1.5791348
40   1.8003275
41   0.8553887
42   1.2828065
44   1.4482278
45   0.9593687
46   1.3661917
47   1.0535565
48   1.3443043
49   0.5364300
50   1.3928884
51   0.9036498
52   2.0574389
53   1.4401412
54   2.0547509
55   0.9599409
56   1.2659217
57   0.5006637
58   0.8153721
59   0.4128517
60   1.0115341
62   0.7079917
63   0.4351943
64   0.9029417
65   0.2092636
66   0.9968063
67   0.3893134
68   0.7928188
69  -0.0426128
70   0.6935675
71  -0.0690923
72   0.4071865
73  -0.4405232
74   0.2457238
75   0.1620984
76   1.2530191
77   1.2701621
78   1.5752832
79   0.7331679
80   0.7119790
81   0.2782066
82   1.3047652
83   0.4185395
90   0.1092410
92  -0.1424866
